sargon_p::ancient_author,Letter_Opening,nos_words,Opening: Type,Opening: God(s),Opening: Concern(s),id_text,sargon_p::primary_publication,sargon_p::volume,SAA no.,sargon_p::senderloc,sargon_p::dossier,tablet_physical_features 1,tablet_physical_features 2,,Letter_Subj 1,Letter_Subj 2,Letter_Subj 3,Dating_elements,designation,sign_form,f,a,m,detailed_comments,f_a_m,mzl_json 2::generic_comments,sign_id,sign_context,sign_value,photo,sargon_p::ch_no,sargon_p::museum_no,,sign_position,sign_preservation,sign_ref_form_headword_sender::form,ref_form_headword::xis_form,ref_form_headword::xis_headword,ref_form_headword::headword,sign_ref_form_headword_sender::cf,sign_ref_form_headword_sender::ref,sign_ref_form_headword_sender::gw,sign_ref_form_headword_sender::pos,sign_ref_form_headword_sender::sense,sign_ref_form_headword_sender::epos,sign_ref_form_headword_sender::line_label,
Šamaš-belu-uṣur,a-na LUGAL be-lí-ia ARAD-ka mdUTU-EN-PAB lu-u DI-mu a-na LUGAL be-lí-ia DI-mu a-na URU.de-e-ri DI-mu a-na URU.ḪAL.ṢU,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"Der, Fort",P313504,CT 53 089+,SAA 15,113,Der,SAA15.05.01.a,,,,,,,,P313504.18.3.2 (AL; u₂-sa-al\dt-la-an-šu₂),AL,dt,,,,dt,"displaced wedge(s), titled wedge(s)",P313504.18.3.2,u₂-sa-al\dt-la-an-šu₂,al,,Ch. 5,Sm 0749+,,,,u₂-sa-al-la-an-šu₂,akk.r01da2,akk.r01d9c,salāmu[be(come) at peace]V,salāmu,P313504.18.3,be(come) at peace,V,reconcile,V,o 17,
Šamaš-belu-uṣur,a-na LUGAL EN-ia ARAD-ka mdUTU—EN—PAB lu DI-mu a-na LUGAL EN-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334279,ABL 0408,SAA 5,227,Arzuhina,SAA05.11.01.a,,,,,,,,P334279.21.4.3 (AK; {uru}a-ra-ak\t-di),AK,t,,,,t,tilted wedge(s),P334279.21.4.3,{uru}a-ra-ak\t-di,ak,,Ch. 11,"Rm 2,0001",,,,{URU}a-ra-ak-di,qpn.r0007c,qpn.r0007c,Arrakdi[1]GN,Arrakdi,P334279.21.4,1,GN,1,GN,o 20,
Šamaš-belu-uṣur,a-na LUGAL EN-ia ARAD-ka mdUTU—EN—PAB lu-u DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334564,ABL 0802,SAA 5,233,Arzuhina,SAA05.11.01.a,,,,,,,,P334564.10.3.1 (BA; i-ba\t-šu-u-ni),BA,t,,,,t,tilted wedge(s),P334564.10.3.1,i-ba\t-šu-u-ni,ba,,Ch. 11,"81-7-27,039",,,,i-ba-šu-u-ni,akk.r0059a,akk.r00590,bašû[exist]V,bašû,P334564.10.3,exist,V,exist,V,o 9,
Šamaš-taklak,a-na LUGAL EN-ia ARAD-ka mdUTU—tak-lak lu šul-mu a-na LUGAL EN-ia  ,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334099,ABL 0153+,SAA 15,294,uncertain,SAA15.09.06.a,,,,,,,,P334099.6.2.0 (ANŠE; {anšed}KUR.RA-MEŠ-ka),ANŠE,d,,,,d,displaced wedge(s),P334099.6.2.0,{anšed}KUR.RA-MEŠ-ka,ANŠE,,Ch. 9,K 07366+,,,,{ANŠE}KUR.RA-MEŠ-ka,akk.r01dec,akk.r01de0,sisû[horse]N,sisû,P334099.6.2,horse,N,horse,N,o 5,
Samnuha-belu-uṣur,a-na LUGAL EN-a ARAD-ka mdsa-am-nu-ḫu—U—PAB,,ana šarrri bēlīya urdaka PN,,,P334634,ABL 0938,SAA 1,222,Shadikanni,SAA01.11.03.a,ruling,,,,,,,P334634.5.1.0 (DI; DI\d-mu),DI,d,,,,d,displaced wedge(s),P334634.5.1.0,DI\d-mu,DI,,Ch. 11,Sm 1201,,,,DI-mu,akk.r0266e,akk.r0266a,šulmu[completeness]N,šulmu,P334634.5.1,completeness,N,health,N,o 3,
Sargon II,⸢a⸣-bat LUGAL a-na maš-šur*—MAN—⸢PAB šul⸣-mu ia-⸢a⸣-ši ⸢šul⸣-mu a-na KUR—aš-šur.KI ⸢ŠÀ⸣-[ka] ⸢lu⸣DÙG.GA-ka,,abat šarrri,,,P224485,NL 039; ND 2759; SAA 19 152,SAA 1,1,Royal Court,SAA01.01.01.a,,,,,,,,P224485.33.3.1 (DI; lid-di\d-nu-ni),DI,d,,,,d,displaced wedge(s),P224485.33.3.1,lid-di\d-nu-ni,di,,Ch. 1,IM 64156,,,,lid-di-nu-ni,akk.r01eb7,akk.r01e29,tadānu[give]V,tadānu,P224485.33.3,give,V,give,V,o 32,
Sargon II,a-bat LUGAL a-na LÚv.⸢šak?⸣-[ni],,abat šarrri,,,X900006,NL 032; ND 2408; SAA 19 153,SAA 1,26,Royal Court,SAA01.01.01.a,,,,,,,,X900006.2.4.0 (LU₂; {lu₂v}⸢šak⸣-[ni]),LU₂,,v,,,v,tilted wedge(s),X900006.2.4.0,{lu₂v}⸢šak⸣-[ni],LU₂,,Ch. 1,IM 64027,,,,{LU₂}šak-ni,akk.r022a8,akk.r0229b,šaknu[appointee]N,šaknu,X900006.2.4,appointee,N,prefect,N,o 1,
Sargon II,a-bat LUGAL a-na ma-ši-pa-a,,abat šarrri,,,P334190,ABL 0298,SAA 1,6,Royal Court,SAA01.01.01.a,,,,,,,,P334190.8.5.3 (NI; ⸢i⸣-lab-bu-ni\d),NI,d,,,,d,displaced wedge(s),P334190.8.5.3,⸢i⸣-lab-bu-ni\d,ni,,Ch. 1,K 01883,,,,i-lab-bu-ni,akk.r01122,akk.r0111e,lawû[surround]V,lawû,P334190.8.5,surround,V,surround,V,o 7,
Sargon II,a-bat LUGAL a-na ma-ši-pa-a,,abat šarrri,,,P334194,ABL 0305,SAA 1,5,Royal Court,SAA01.01.01.a,,,,,,,,P334194.2.2.0 (LUGAL; LUGAL\y),LUGAL,y,,,,y,other variation,P334194.2.2.0,LUGAL\y,LUGAL,,Ch. 1,K 00592,,,,LUGAL,akk.r02556,akk.r02555,šarru[king]N,šarru,P334194.2.2,king,N,king,N,o 1,
Sargon II,a-bat LUGAL a-na mdPA—BÀD—PAB,,abat šarrri,,,P334195,ABL 0306+,SAA 1,10,Royal Court,SAA01.01.01.a,,,,,,,,P334195.17.1.0 (IG; iq\d-ṭar-bu-u-ni),IG,d,,,,d,displaced wedge(s),P334195.17.1.0,iq\d-ṭar-bu-u-ni,iq,,Ch. 1,K 01981+,,,,iq-ṭar-bu-u-ni,akk.r01b62,akk.r01b52,qerēbu[approach]V,qerēbu,P334195.17.1,approach,V,arrive,V,o 16,
Sargon II,a-bat LUGAL a-na mman-nu—ki—dIM,,abat šarrri,,,P334193,ABL 0304,SAA 1,11,Royal Court,SAA01.01.01.a,,,,,,,,P334193.12.3.0 (ANŠE; {anšed}ša—BAD-HAL-la-ti),ANŠE,d,,,,d,displaced wedge(s),P334193.12.3.0,{anšed}ša—BAD-HAL-la-ti,ANŠE,,Ch. 1,K 00533,,,,{ANŠE}ša-BAD-HAL-la-ti,akk.r02212,akk.r02211,ša-pēthalli[rider]N,ša-pēthalli,P334193.12.3,rider,N,cavalry,N,o 11,
Šarru-emuranni,[a-na LUGAL be-lí]-⸢ia⸣ ARAD-MEŠ-ka [mMAN—IGI.LAL]-ni mMAN—IGI.LAL-ni-ma [lu-u DI-mu a-na] ⸢LUGAL⸣ be-lí-ni,11,ana šarrri bēlīya urdaka PN + PN lū šulmu ana šarrri bēlīya,,,P334539,ABL 0762,SAA 15,220,Babylon,SAA15.07.01.a,,,,,,,,P334539.9.6.1 (TI; i-ti\t-ti\t-su),TI,t,,,,t,tilted wedge(s),P334539.9.6.1,i-ti\t-ti\t-su,ti,,Ch. 7,"Rm 2,0529",,,,i-ti-ti-su,akk.r00de3,akk.r00dd9,izuzzu[stand]V,izuzzu,P334539.9.6,stand,V,stand,V,o 8,
Šarru-emuranni,[a-na] ⸢LUGAL⸣ be-lí-ia [ARAD-ka] mMAN—IGI.LAL-an-ni [lu DI]-mu a-na LUGAL [be-lí]-⸢ia⸣,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334204,ABL 0316,SAA 15,224,Babylon,SAA15.07.01.a,,,,,,,,P334204.5.2.2 (BA; {1}EN—BA\t-ša₂),BA,t,,,,t,tilted wedge(s),P334204.5.2.2,{1}EN—BA\t-ša₂,BA,,Ch. 7,K 01500,,,,{1}EN—BA-ša₂,,,,Bel-iqiša,P334204.5.2,1,PN,1,PN,o 4,
Šarru-emuranni,[a-na] ⸢LUGAL⸣ be-lí-ía [ARAD]-⸢ka⸣ mLUGAL—IGI.LAL-a-ni [lu DI]-mu a-na LUGAL EN-ía [DI]-⸢mu⸣ a-na URU.bir-te,13,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Fort ,P334540,ABL 0763+,SAA 15,218,Babylon,SAA15.07.01.a,,,,,,,,P334540.14.2.0 (LU₂; {lu₂v}pa-ri-⸢ṣu⸣),LU₂,,v,,,v,tilted wedge(s),P334540.14.2.0,{lu₂v}pa-ri-⸢ṣu⸣,LU₂,,Ch. 7,"81-2-4,126+",,,,{LU₂}pa-ri-ṣu,akk.r01854,akk.r01851,parriṣu[criminal]N,parriṣu,P334540.14.2,criminal,N,criminal,N,o 13,
Šarru-emuranni,[a-na] LUGAL be-lí-ía [ARAD]-ka mMAN—IGI-a-ni [lu] ⸢šul⸣-mu a-na be-lí-ia,9,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P314044,CT 53 632,SAA 15,227,Babylon,SAA15.07.01.a,,,,,,,,P314044.12.3.0 (LIŠ; liš\d-al-šu₂),LIŠ,d,,,,d,displaced wedge(s),P314044.12.3.0,liš\d-al-šu₂,liš,,Ch. 7,K 15274,,,,liš-al-šu₂,akk.r026e8,akk.r026c6,šâlu[ask]V,šâlu,P314044.12.3,ask,V,ask,V,r 3',
Šarru-emuranni,[a]-⸢na LUGAL⸣ EN-ia [ARAD]-⸢ka⸣ m⸢MAN*—IGI⸣.LAL-an-ni [lu] ⸢DI⸣-mu a-na ⸢LUGAL⸣ EN-ia,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P336169,GPA 242,SAA 5,292,Mazamua,SAA05.14.02.a,,,,,,,,P336169.8.3.0 (ŠA; ša\dy),ŠA,dy,,,,dy,"displaced wedge(s), other variation",P336169.8.3.0,ša\dy,ša,,Ch. 14,ND 1108,,,,ša,akk.r00a97,akk.r00a85,erēšu[sow]V,ša,P336169.8.3,of,DET,of,DET,o 7,
Šarru-emuranni,[a]-⸢na⸣ LUGAL EN-⸢ia⸣ [ARAD]-ka mLUGAL—e-mur-[an-ni] [lu DI]-mu a-na LUGAL EN-[ia],10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334208,ABL 0321,SAA 5,201,Mazamua,SAA05.10.01.a,,,,,,,,P334208.4.3.1 (NA; a-na\d),NA,d,,,,d,displaced wedge(s),P334208.4.3.1,a-na\d,na,,Ch. 10,K 14093,,,,a-na,akk.r002e5,akk.r002dd,ana[to]PRP,ana,P334208.4.3,to,PRP,to,PRP,o 3,
Šarru-emuranni,[a]-na LUGAL be-lí-ia [ARAD]-ka mLUGAL—IGI.LAL-ni [lu DI-mu] a-na LUGAL EN-ia,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334538,ABL 0761,SAA 5,207,Mazamua,SAA05.10.01.a,,,,,,,,P334538.5.2.0 (LU₂; {lu₂v}qur-bu-te),LU₂,,v,,,v,tilted wedge(s),P334538.5.2.0,{lu₂v}qur-bu-te,LU₂,,Ch. 10,"Rm 2,0474",,,,{LU₂}qur-bu-te,akk.r02228,akk.r02227,ša-qurbūti[close follower]N,ša-qurbūti,P334538.5.2,close follower,N,(royal) confidant,N,o 4,
Šarru-emuranni,[a]-na LUGAL be-lí-ia ARAD-ka mMAN—IGI.LAL-a-ni lu DI-mu a-na LUGAL be-lí-ia,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334536,ABL 0759,SAA 15,234,Babylon,SAA15.07.01.a,,,,,,,,P334536.2.2.0 (LUGAL; LUGAL\d),LUGAL,d,,,,d,displaced wedge(s),P334536.2.2.0,LUGAL\d,LUGAL,,Ch. 7,DT 063,,,,LUGAL,akk.r02556,akk.r02555,šarru[king]N,šarru,P334536.2.2,king,N,king,N,o 1,
Šarru-emuranni,a-[na LUGAL] be-lí-ia ARAD-ka mMAN—IGI.LAL-an-ni lu-u DI-mu a-na LUGAL be-lí-ía,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P313515,CT 53 100,SAA 15,226,Babylon,SAA15.07.01.a,,,,,,,,P313515.7.3.3 (BARA₂; {⸢lu₂v⸣}DUMU-MEŠ—BAR₂\t.SIPA{ki}),BARA₂,t,,,,t,tilted wedge(s),P313515.7.3.3,{⸢lu₂v⸣}DUMU-MEŠ—BAR₂\t.SIPA{ki},BAR₂,,Ch. 7,Sm 2060+,,,,{LU₂}DUMU-MEŠ—BAR₂.SIPA{KI},,,,māru,P313515.7.3,son,N,son,N,o 6,
Šarru-emuranni,a-na   LUGAL be-lí-ia ARAD-ka mLUGAL—e-mur-an-ni lu DI-mu a-na LUGAL be-lí-ia o] DI-mu a-na TIN.TIR.KI BÁR.SIPA.KI [x x x] ⸢ZI*⸣-MEŠ <gab>-bi ŠÀ-bi [ša LUGAL be-lí-ia] ⸢lu⸣-u* DÙG.GA-šú,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Babaylon, Borsippa, persons",P334201,ABL 0313,SAA 15,217,Babylon,SAA15.07.01.a,,,,,,,,P334201.2.2.0 (LUGAL; LUGAL\d),LUGAL,d,,,,d,displaced wedge(s),P334201.2.2.0,LUGAL\d,LUGAL,,Ch. 7,K 01081,,,,LUGAL,akk.r02556,akk.r02555,šarru[king]N,šarru,P334201.2.2,king,N,king,N,nolabel,
Šarru-emuranni,a-na [LUGAL be-lí-ia] ARAD-ka m⸢LUGAL⸣—e-mur-[an-ni] lu-u DI-mu a-na LUGAL EN-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P313421,CT 53 006,SAA 15,237,Babylon,SAA15.07.01.a,,,,,,,,P313421.3.1.0 (ARAD; ARAD\p-ka),ARAD,p,,,,p,additional wedge(s),P313421.3.1.0,ARAD\p-ka,ARAD,,Ch. 7,K 00600,,,,ARAD-ka,akk.r0039c,akk.r00392,ardu[slave]N,ardu,P313421.3.1,slave,N,servant,N,o 2,
Šarru-emuranni,a-na LUGAL ⸢EN⸣-[ia] ARAD-ka mLUGAL—IGI.LAL-[an-ni] lu-u DI-mu a-na LUGAL [EN-ia],,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334205,ABL 0317,SAA 5,243,Qunbuna,SAA05.12.04.a,,,,,,,,P334205.25.2.1 (DA; {1}da\d-da\d-a),DA,d,,,,d,displaced wedge(s),P334205.25.2.1,{1}da\d-da\d-a,da,,Ch. 12,K 05291,,,,{1}da-da-a,qpn.r00155,qpn.r00155,Dada[1]PN,Dada,P334205.25.2,1,PN,1,PN,r 2,
Šarru-emuranni,a-na LUGAL be-lí-ia ARAD-ka mLUGAL—e-mur-an-ni lu DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334199,ABL 0311,SAA 5,199,Mazamua,SAA05.10.01.a,,,,,,,,P334199.12.2.1 (AL; ša₂-al\dt-še),AL,dt,,,,dt,"displaced wedge(s), titled wedge(s)",P334199.12.2.1,ša₂-al\dt-še,al,,Ch. 10,K 00630,,,,ša₂-al-še,akk.r02389,akk.r02384,šalšu[third]NU,šalšu,P334199.12.2,third,NU,third,NU,o 11,
Šarru-emuranni,a-na LUGAL be-lí-ia ARAD-ka mLUGAL—e-mur-an-ni lu-u šul-mu a-na LUGAL be-lí-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P313640,ABL 0319+,SAA 5,206,Mazamua,SAA05.10.01.a,,,,,,,,P313640.3.1.0 (ARAD; ARAD\p-ka),ARAD,p,,,,p,additional wedge(s),P313640.3.1.0,ARAD\p-ka,ARAD,,Ch. 10,K 07384+,,,,ARAD-ka,akk.r0039c,akk.r00392,ardu[slave]N,ardu,P313640.3.1,slave,N,servant,N,o 2,
Šarru-emuranni,a-na LUGAL be-lí-ia ARAD-ka mLUGAL—IGI.LAL-ni lu DI-mu a-na LUGAL be-lí-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334198,ABL 0310,SAA 5,202,Mazamua,SAA05.10.01.a,,,,,,,,P334198.22.1.2 (AL; ig\d-ta-al\dt-du),AL,dt,,,,dt,"displaced wedge(s), titled wedge(s)",P334198.22.1.2,ig\d-ta-al\dt-du,al,,Ch. 10,K 00610,,,,ig-ta-al-du,akk.r00b4f,akk.r00b4d,galātu[tremble]V,galātu,P334198.22.1,tremble,V,frighten,V,r 8',
Šarru-emuranni,a-na LUGAL be-lí-ia ARAD-ka mLUGAL—IGI.LAL-ni lu DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334263,ABL 0387,SAA 5,203,Mazamua,SAA05.10.01.a,,,,,,,,P334263.4.2.0 (DI; DI\d-mu),DI,d,,,,d,displaced wedge(s),P334263.4.2.0,DI\d-mu,DI,,Ch. 10,Sm 1045,,,,DI-mu,akk.r0266e,akk.r0266a,šulmu[completeness]N,šulmu,P334263.4.2,completeness,N,health,N,o 3,
Šarru-emuranni,a-na LUGAL be-lí-ía ARAD-ka mMAN—IGI.LAL-an-ni lu-u DI-mu a-na LUGAL EN-ía DI-mu a-na URU.ḪAL.ṢU,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Fort,P334264,ABL 0388,SAA 15,238,Babylon,SAA15.07.01.a,,,,,,,,P334264.14.1.0 (LA; la\p),LA,p,,,,p,additional wedge(s),P334264.14.1.0,la\p,la,,Ch. 7,"Rm 2,0463",,,,la,akk.r011c8,akk.r011c7,lā[not]MOD,lā,P334264.14.1,not,MOD,not,MOD,o 13,
Šarru-emuranni,a-na LUGAL EN-ia ARAD-ka mLUGAL—IGI.LAL-[an-ni] lu-u DI-mu a-na LUGAL EN-ía ,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334200,ABL 0312,SAA 5,200,Mazamua,SAA05.10.01.a,,,,"Itinerary to Hirite impossible with the army
alternative itinerary through Sumbi and Bit-Hamban
The son of Bel-iddina keeps the best men for himself",,,,P334200.16.1.0 (BU; pu\p-uh-ra),BU,p,,,,p,additional wedge(s),P334200.16.1.0,pu\p-uh-ra,pu,,Ch. 10,K 00689,,,,pu-uh-ra,akk.r017d2,akk.r017c8,pahāru[gather]V,pahru,P334200.16.1,gathered,AJ,assembled,AJ,o 15,
Šarru-emuranni,a-na LUGAL EN-ía ARAD-ka mLUGAL—IGI.LAL-a-ni lu-u DI-mu a-na LUGAL EN-ía DI-mu a-na a-ṣa-pi-⸢MEŠ*⸣ ša LUGAL EN-ía DI-mu a-na LÚv.ARAD-MEŠ ša LUGAL EN-ía DI-⸢mu a⸣-na KUR.É—za-ma-ni,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"Pack animals of the King, Subjects of the King, Land of Bit-Zamani",P334534,ABL 0757,SAA 5,47,Bit-Zamani,SAA05.03.03.a,,,,,,,,P334534.16.2.1 (ANŠE; {mi₂}{anšed}KUR.RA),ANŠE,d,,,,d,displaced wedge(s),P334534.16.2.1,{mi₂}{anšed}KUR.RA,ANŠE,,Ch. 3,Sm 0887+,,,,{MI₂}{ANŠE}KUR.RA,akk.r00440,akk.r0043b,atānu[she-ass]N,atānu,P334534.16.2,she-ass,N,mare,N,o 15,
Šarru-emuranni,a-na LUGAL EN-ía ARAD-ka mLUGAL—IGI.LAL-an-ni lu DI-mu a-na LUGAL EN-ía DI-mu a-na URU.ḪAL.ṢU,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Fort,P334203,ABL 0315,SAA 15,223,Babylon,SAA15.07.01.a,,,,,,,,P334203.6.3.0 (ANŠE; {anšed}KUR.RA-MEŠ),ANŠE,d,,,,d,displaced wedge(s),P334203.6.3.0,{anšed}KUR.RA-MEŠ,ANŠE,,Ch. 7,K 01402,,,,{ANŠE}KUR.RA-MEŠ,akk.r01dea,akk.r01de0,sisû[horse]N,sisû,P334203.6.3,horse,N,horse,N,o 5,
Šarru-emuranni,a-na LUGAL EN-ia ARAD-ka mMAN—IGI.LAL-an-ni lu DI-mu a-na LUGAL EN-ía DI-mu a-na URU.bir-te,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Fort,P334202,ABL 0314,SAA 15,219,Babylon,SAA15.07.01.a,,,,,,,,P334202.11.2.0 (LU₂; {lu₂vy}A—KIN-ia),LU₂,y,v,,,yv,"tilted wedge(s), other variation",P334202.11.2.0,{lu₂vy}A—KIN-ia,LU₂,,Ch. 7,K 01227,,,,{LU₂}A—KIN-ia,,,,māru,P334202.11.2,son,N,son,N,o 10,
Sennacherib,[a-na] LUGAL be-lí-ia [ARAD-ka m]30—PAB-MEŠ—SU lu [DI-mu a]-⸢na*⸣ LUGAL be-lí-ia DI-mu [a-na KUR—aš-šur].KI DI-mu [a-na É.KUR]-⸢MEŠ⸣-te DI-mu [a-na URU.bi-rat ša LUGAL] ⸢gab⸣-bu ŠÀ-bu [ša LUGAL EN-ia a—dan-niš] ⸢lu⸣-uDÙG.GA,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Assyria, temples, forts",P334143,ABL 0198+,SAA 1,29,Royal Court,SAA01.02.01.a,,,,,,,,P334143.61.3.0 (AK; ak\td-ta-na-ak\td),AK,td,,,,td,"tilted wedge(s), displaced wedge(s)",P334143.61.3.0,ak\td-ta-na-ak\td,ak,,Ch. 2,K 14628+,,,,ak-ta-na-ak,akk.r00efb,akk.r00ef9,kanāku[seal]V,kanāku,P334143.61.3,seal,V,seal,V,r 23,
Sennacherib,a-na LUGAL be-lí-ia ARAD-ka md30—PAB-MEŠ—SU lu šul-mu a-na LUGAL be-lí-ia šul-mu a-na KUR—aš-šur.KI šul-mu a-na É.KUR-MEŠ-te šul-mu a-na URU.bi-rat ša LUGAL gab-bu ŠÀ-bu ša LUGAL EN-ia a—dan-niš lu DÙG.GA,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Assyria, temples, forts",P334141,ABL 0196,SAA 1,33,Royal Court,SAA01.02.01.a,,,,,,,,P334141.21.1.2 (GAR₃; {lu₂v}DAM.QAR\p-MEŠ),GAR₃,p,,,,p,additional wedge(s),P334141.21.1.2,{lu₂v}DAM.QAR\p-MEŠ,QAR,,Ch. 2,K 00125,,,,{LU₂}DAM.QAR-MEŠ,akk.r01f1c,akk.r01f19,tamkāru[merchant]N,tamkāru,P334141.21.1,merchant,N,merchant,N,o 20,
Sennacherib,a-na LUGAL be-lí-ia ARAD-ka md30—PAB-MEŠ—SU lu šul-mu a-na LUGAL be-lí-ia šul-mu a-na KUR—aš-šur.KI šul-mu a-na É.KUR-MEŠ-te šul-mu a-na URU.bi-rat ša LUGAL gab-bu ŠÀ-bu ša LUGAL EN-ia a—dan-niš lu DÙG.GA,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Assyria, temples, forts",P334142,ABL 0197,SAA 1,31,Royal Court,SAA01.02.01.a,,,,,,,,P334142.11.4.0 (LU₂; {lu₂v}e-mu-qi-šu₂),LU₂,,v,,,v,tilted wedge(s),P334142.11.4.0,{lu₂v}e-mu-qi-šu₂,LU₂,,Ch. 2,K 00181,,,,{LU₂}e-mu-qi-šu₂,akk.r00947,akk.r0092f,emūqu[strength]N,emūqu,P334142.11.4,strength,N,troops,N,o 10,
Sennacherib,a-na LUGAL be-lí-ia ARAD-ka md30—PAB-MEŠ—SU lu šul-mu a-na LUGAL be-lí-ia šul-mu a-na KUR—aš-šur.KI šul-mu a-na É.KUR-MEŠ-te šul-mu a-na URU.bi-rat ša LUGAL gab-bu ŠÀ-bu ša LUGAL EN-ia a—dan-niš lu DÙG.GA,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Assyria, temples, forts",P334144,ABL 0199,SAA 1,38,Royal Court,SAA01.02.01.a,,,,,,,,P334144.2.1.1 (NA; a-na\t),NA,t,,,,t,tilted wedge(s),P334144.2.1.1,a-na\t,na,,Ch. 2,K 07434,,,,a-na,akk.r002e5,akk.r002dd,ana[to]PRP,ana,P334144.2.1,to,PRP,to,PRP,o 1,
Sennacherib,a-na LUGAL be-lí-ia ARAD-ka md30—PAB-MEŠ—SU lu šul-mu a-na LUGAL be-lí-ia šul-mu a-na KUR—aš-šur.KI šul-mu a-na É.KUR-MEŠ-te šul-mu a-na URU.bi-rat ša LUGAL gab-bu ŠÀ-bu ša LUGAL EN-ia a—dan-niš lu DÙG.GA,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Assyria, temples, forts",P334519,ABL 0730,SAA 1,35,Royal Court,SAA01.02.01.a,,,,,,,,P334519.16.4.3 (AK; x]+⸢x⸣-ia-ak\t),AK,t,,,,t,tilted wedge(s),P334519.16.4.3,x]+⸢x⸣-ia-ak\t,ak,,Ch. 2,"Rm 2,0014",,,,x+x-ia-ak,,,,,P334519.16.4,,,,,r 5',
Sennacherib,a-na LUGAL be-lí-ia ARAD-ka md30—PAB-MEŠ—SU lu šul-mu a-na LUGAL be-lí-ia šul-mu a-na KUR—aš-šur.KI šul-mu a-na É.KUR-MEŠ-te šul-mu a-na URU.bi-rat ša LUGAL gab-bu ŠÀ-bu ša LUGAL EN-ia a—dan-niš lu DÙG.GA,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,"Assyria, temples, forts",P334520,ABL 0731,SAA 1,36,Royal Court,SAA01.02.01.a,,,,,,,,P334520.3.2.4 (|ME.U.U.U|; {1}{d}30—PAB-MEŠ\t—SU),|ME.U.U.U|,t,,,,t,tilted wedge(s),P334520.3.2.4,{1}{d}30—PAB-MEŠ\t—SU,MEŠ,,Ch. 2,"81-7-27,041",,,,{1}{d}30-PAB-MEŠ—SU,,,,Sin-ahhe-eriba,P334520.3.2,Sennacherib,PN,Sennacherib,PN,o 2,
