,headword,xis_entry,form,xis_form,instances_all
163,Aššur-belu-daʾʾin[1]PN,qpn.r000c3,{1}aš-šur-EN-KALAG-in,qpn.r000c3,"saao/sargonletters:P334180.3.2,saao/sargonletters:P334181.3.2,saao/sargonletters:P334182.3.2"
164,Aššur-belu-taqqin[1]PN,qpn.r000c4,{1}aš-šur-EN-LAL,qpn.r000c5,"saao/sargonletters:P334441.15.2,saao/sargonletters:P334830.49.2"
165,Aššur-belu-taqqin[1]PN,qpn.r000c4,{1}aš-šur-EN-LAL-in,qpn.r000c6,"saao/sargonletters:P313421.6.3,saao/sargonletters:P313659.10.5,saao/sargonletters:P313659.9.5,saao/sargonletters:P334837.4.4"
166,Aššur-belu-taqqin[1]PN,qpn.r000c4,{1}aš-šur-U-LAL,qpn.r000c7,"saao/sargonletters:P334097.15.2,saao/sargonletters:P334302.20.2,saao/sargonletters:P334302.30.3,saao/sargonletters:P334344.40.4,saao/sargonletters:P334598.12.1,saao/sargonletters:P334704.3.2"
167,Aššur-belu-taqqin[1]PN,qpn.r000c4,{1}aš-šur-U-LAL-in,qpn.r000c8,"saao/sargonletters:P313420.29.3,saao/sargonletters:P313479.3.2,saao/sargonletters:P334155.3.2,saao/sargonletters:P334609.3.2"
168,Aššur-belu-udaʾʾan[1]PN,qpn.r000c9,{1}aš-šur-EN-KALAG-an,qpn.r000c9,"saao/sargonletters:P313478.3.2,saao/sargonletters:P334071.12.3,saao/sargonletters:P334179.3.2"
169,Aššur-belu-uṣur[1]PN,qpn.r000ca,{1}aš-šur-EN-PAB,qpn.r000ca,"saao/sargonletters:P313470.3.2,saao/sargonletters:P313498.3.2,saao/sargonletters:P334177.3.2,saao/sargonletters:P334178.3.2,saao/sargonletters:P335930.3.2"
170,Aššur-bessunu[1]PN,qpn.r000cb,{1}aš-šur-be₂-sun₂,qpn.r000cc,saao/sargonletters:P336597.5.3
171,Aššur-bessunu[1]PN,qpn.r000cb,{1}aš-šur-bi-su-nu,qpn.r000cd,saao/sargonletters:P334187.43.2
172,Aššur-dalal[1]PN,qpn.r000ce,{1}aš-šur-da-lal,qpn.r000ce,saao/sargonletters:P334715.29.4
173,Aššur-daʾʾinanni[1]PN,qpn.r000cf,{1}aš-šur-KALAG-an-ni,qpn.r000cf,saao/sargonletters:X900015.36.2
174,Aššur-dur-paniya[1]PN,qpn.r000d0,{1}aš-šur-BAD₃-IGI-ia,qpn.r000d1,"saao/sargonletters:P313448.3.2,saao/sargonletters:P313711.3.2,saao/sargonletters:P313761.3.2,saao/sargonletters:P334186.3.2,saao/sargonletters:P334187.3.2,saao/sargonletters:P334528.3.2"
175,Aššur-dur-paniya[1]PN,qpn.r000d0,{1}aš-šur-BAD₃-pa-ni-ia,qpn.r000d2,saao/sargonletters:P334529.3.2
176,Aššur-ereš[1]PN,qpn.r000d3,{1}aš-šur-KAM-eš,qpn.r000d3,saao/sargonletters:X900011.40.3
177,Aššur-iddin[1]PN,qpn.r000d4,{1}aš-šur-AŠ,qpn.r000d4,saao/sargonletters:P314290.10.1
178,Aššur-ilaʾi[1]PN,qpn.r000d5,{1}aš-šur-DINGIR-a.a,qpn.r000d5,saao/sargonletters:P334209.6.3
179,Aššur-leʾi[1]PN,qpn.r000d6,{1}aš-šur-ZU,qpn.r000d6,"saao/sargonletters:P313686.6.5,saao/sargonletters:P334705.12.2,saao/sargonletters:P334705.22.3,saao/sargonletters:P334705.5.2,saao/sargonletters:P334705.9.3"
180,Aššur-nadin-ahhe[1]PN,qpn.r000d7,{1}aš-šur-SUM-PAB-MEŠ,qpn.r000d7,saao/sargonletters:P334435.6.3
181,Aššur-naʾdi[1]PN,qpn.r000d8,{1}aš-šur-I,qpn.r000d8,saao/sargonletters:P334396.19.2
182,Aššur-neše[Aššur-of-Lions]GN,qpn.r000d9,aš-šur-UR.MAH-MEŠ,qpn.r000d9,saao/sargonletters:P334773.20.3
183,Aššur-patinu[1]PN,qpn.r000da,{1}aš-šur-pa-ti-nu,qpn.r000da,"saao/sargonletters:P313473.3.2,saao/sargonletters:P313985.3.2,saao/sargonletters:P314053.6.2,saao/sargonletters:P334625.3.2"
184,Aššur-remanni[1]PN,qpn.r000db,{1}aš-šur-rem₂-a-ni,qpn.r000dc,"saao/sargonletters:P313478.14.2,saao/sargonletters:P313480.9.4,saao/sargonletters:P334805.20.1"
185,Aššur-remanni[1]PN,qpn.r000db,{1}aš-šur-rem₂-an-ni,qpn.r000dd,"saao/sargonletters:P313814.65.3,saao/sargonletters:P313814.77.11,saao/sargonletters:P313814.84.13"
186,Aššur-remanni[1]PN,qpn.r000db,{1}{d}aš-šur-rem₂-an-ni,qpn.r000de,saao/sargonletters:P334656.3.2
187,Aššur-reši-išši[1]PN,qpn.r000df,{1}aš-šur-SAG-i-ši,qpn.r000df,"saao/sargonletters:P313735.4.2,saao/sargonletters:P314232.12.1"
188,Aššur-reṣiwa[1]PN,qpn.r000e0,{1}aš-šur-re-ṣi-u-a,qpn.r000e0,"saao/sargonletters:P334258.3.2,saao/sargonletters:P334259.4.2"
189,Aššur-reṣuwa[1]PN,qpn.r000e1,{1}aš-šur-re-ṣu-u-a,qpn.r000e1,"saao/sargonletters:P313450.7.1,saao/sargonletters:P313457.3.2,saao/sargonletters:P313497.6.2,saao/sargonletters:P313513.10.2,saao/sargonletters:P313553.19.1,saao/sargonletters:P313803.9.6,saao/sargonletters:P334050.5.3,saao/sargonletters:P334071.13.3,saao/sargonletters:P334090.2.5,saao/sargonletters:P334091.3.2,saao/sargonletters:P334092.2.5,saao/sargonletters:P334093.3.2,saao/sargonletters:P334094.2.5,saao/sargonletters:P334142.22.1,saao/sargonletters:P334142.36.4,saao/sargonletters:P334143.24.7,saao/sargonletters:P334143.49.4,saao/sargonletters:P334256.3.2,saao/sargonletters:P334257.3.2,saao/sargonletters:P334308.3.2,saao/sargonletters:P334335.5.3,saao/sargonletters:P334337.11.2,saao/sargonletters:P334338.3.2,saao/sargonletters:P334339.3.2,saao/sargonletters:P334721.4.4,saao/sargonletters:P334786.3.2,saao/sargonletters:P337150.3.2"
190,Aššur-zeru-ibni[1]PN,qpn.r000e2,{1}aš-šur-NUMUN-DU₃,qpn.r000e2,saao/sargonletters:P337151.2.2
191,Aššur-šarrani[1]PN,qpn.r000e3,{1}aš-šur-MAN-a-ni,qpn.r000e3,saao/sargonletters:P313609.6.2
192,Aššur-šarru-ibni[1]PN,qpn.r000e4,{1}aš-šur-MAN-DU₃,qpn.r000e4,saao/sargonletters:P313523.3.2
193,Aššur-šarru-uṣur[1]PN,qpn.r000e5,{1}aš-šur-MAN-PAB,qpn.r000e5,"saao/sargonletters:P224485.2.4,saao/sargonletters:P314243.13.4,saao/sargonletters:P334887.8.3,saao/sargonletters:P393855.22.3"
194,Aššur-šumu-kaʾʾin[1]PN,qpn.r000e6,{1}aš-šur-MU-GIN,qpn.r000e7,saao/sargonletters:P313439.3.2
195,Aššur-šumu-kaʾʾin[1]PN,qpn.r000e6,{1}aš-šur-MU-GIN-in,qpn.r000e8,saao/sargonletters:P313879.7.1
196,Aššur-šumu-kaʾʾin[1]PN,qpn.r000e6,{1}aš-šur-MU-ki-in,qpn.r000e9,"saao/sargonletters:P334288.5.1,saao/sargonletters:P334314.10.2"
197,Aššur-ṣabtanni[1]PN,qpn.r000ea,{1}aš-šur-DIB-an-ni,qpn.r000ea,saao/sargonletters:P334505.12.4
198,Aššur[1]DN,akk.r00001,E₂-aš-šur,akk.r00002,"saao/sargonletters:P313807.13.4,saao/sargonletters:P334298.24.2,saao/sargonletters:P334298.31.5,saao/sargonletters:P334396.7.5"
199,Aššur[1]DN,akk.r00001,KUR-aš-šur,akk.r00003,"saao/sargonletters:P313492.45.1,saao/sargonletters:P313510.39.7,saao/sargonletters:P313516.25.5,saao/sargonletters:P313548.5.1,saao/sargonletters:P313601.15.2,saao/sargonletters:P313877.4.8,saao/sargonletters:P314068.10.2,saao/sargonletters:P314068.15.2,saao/sargonletters:P314118.7.2,saao/sargonletters:P314287.10.7,saao/sargonletters:P334158.12.4,saao/sargonletters:P334158.9.4,saao/sargonletters:P334369.30.2,saao/sargonletters:P334692.13.6,saao/sargonletters:P334857.19.8,saao/sargonletters:X900005.9.3"
200,Aššur[1]DN,akk.r00001,KUR-aš-šur{KI},akk.r00004,"saao/sargonletters:P313451.5.3,saao/sargonletters:P313548.14.2,saao/sargonletters:P313548.8.2,saao/sargonletters:P313575.20.5,saao/sargonletters:P313587.14.5,saao/sargonletters:P313722.5.3,saao/sargonletters:P313796.24.2,saao/sargonletters:P313802.5.2,saao/sargonletters:P313814.58.4,saao/sargonletters:P313837.19.6,saao/sargonletters:P314287.6.7,saao/sargonletters:P334041.7.3,saao/sargonletters:P334048.4.6,saao/sargonletters:P334091.7.2,saao/sargonletters:P334091.8.3,saao/sargonletters:P334141.5.3,saao/sargonletters:P334142.5.3,saao/sargonletters:P334143.13.6,saao/sargonletters:P334143.18.3,saao/sargonletters:P334144.5.3,saao/sargonletters:P334166.14.2,saao/sargonletters:P334272.7.3,saao/sargonletters:P334390.5.3,saao/sargonletters:P334519.4.3,saao/sargonletters:P334683.3.7,saao/sargonletters:P334683.9.6,saao/sargonletters:P337150.14.2,saao/sargonletters:X900009.4.3"
201,Aššur[1]DN,qpn.r000eb,aš-šur,qpn.r000ec,"saao/sargonletters:P224485.29.3,saao/sargonletters:P224485.53.3,saao/sargonletters:P224485.8.4,saao/sargonletters:P313458.15.8,saao/sargonletters:P313458.9.5,saao/sargonletters:P313587.7.6,saao/sargonletters:P313915.8.6,saao/sargonletters:P314153.16.1,saao/sargonletters:P314232.8.1,saao/sargonletters:P334036.5.1,saao/sargonletters:P334037.5.1,saao/sargonletters:P334038.5.1,saao/sargonletters:P334039.5.1,saao/sargonletters:P334040.5.1,saao/sargonletters:P334041.9.1,saao/sargonletters:P334042.5.1,saao/sargonletters:P334043.5.1,saao/sargonletters:P334044.5.1,saao/sargonletters:P334045.5.1,saao/sargonletters:P334046.5.1,saao/sargonletters:P334047.5.1,saao/sargonletters:P334158.4.1,saao/sargonletters:P334213.5.1,saao/sargonletters:P334271.5.1,saao/sargonletters:P334272.9.1,saao/sargonletters:P334273.5.1,saao/sargonletters:P334328.5.1,saao/sargonletters:P334329.5.1,saao/sargonletters:P334330.5.1,saao/sargonletters:P334331.5.1,saao/sargonletters:P334372.5.1,saao/sargonletters:P334384.5.1,saao/sargonletters:P334396.5.1,saao/sargonletters:P334500.11.6,saao/sargonletters:P334676.5.1,saao/sargonletters:P334698.5.1,saao/sargonletters:P334728.6.1,saao/sargonletters:P334904.5.1,saao/sargonletters:P336167.5.1"
202,Aššur[1]DN,qpn.r000eb,{d}aš-šur,qpn.r000ed,"saao/sargonletters:P313439.5.1,saao/sargonletters:P313923.6.1,saao/sargonletters:P334543.32.1"
203,Aššuraya[Assyrian]EN,qpn.r000ee,aš-šur-a.a,qpn.r000ef,"saao/sargonletters:P314254.5.3,saao/sargonletters:P334146.9.3"
204,Aššuraya[Assyrian]EN,qpn.r000ee,aš-šur-a.a-te,qpn.r000f0,saao/sargonletters:P313447.10.1
205,Aššuraya[Assyrian]EN,qpn.r000ee,{KUR}aš-šur-a.a,qpn.r000f1,"saao/sargonletters:P334415.12.1,saao/sargonletters:P334415.5.2,saao/sargonletters:X900007.33.4,saao/sargonletters:X900007.37.1,saao/sargonletters:X900010.22.5"
206,Aššuraya[Assyrian]EN,qpn.r000ee,{KUR}aš-šur{KI}-a.a,qpn.r000f2,saao/sargonletters:P314205.5.4
207,Aššuraya[Assyrian]EN,qpn.r000ee,{LU₂}aš-šur-a.a,qpn.r000f3,saao/sargonletters:P334189.11.4
208,Bab-bitqi[1]GN,qpn.r000f5,KA₂-bit-qi,qpn.r000f6,saao/sargonletters:P334583.9.2
209,Bab-bitqi[1]GN,qpn.r000f5,{URU}KA₂-bit-qi,qpn.r000f7,"saao/sargonletters:P314280.21.3,saao/sargonletters:P334038.10.2,saao/sargonletters:P334038.23.2,saao/sargonletters:P334038.31.2,saao/sargonletters:P334846.12.3"
210,Babili[Babylon]GN,akk.r00005,DUMU-KA₂.DINGIR,akk.r00006,"saao/sargonletters:P313518.32.1,saao/sargonletters:P313952.4.2"
211,Babili[Babylon]GN,akk.r00005,DUMU-KA₂.DINGIR.RA,akk.r00007,"saao/sargonletters:P314326.31.5,saao/sargonletters:P334421.20.3"
212,Babili[Babylon]GN,akk.r00005,DUMU-KA₂.DINGIR.RA{KI},akk.r00008,"saao/sargonletters:P334263.35.1,saao/sargonletters:P334357.6.1,saao/sargonletters:P334540.12.3"
213,Babili[Babylon]GN,akk.r00005,DUMU-KA₂.DINGIR{KI},akk.r00009,"saao/sargonletters:P313895.12.8,saao/sargonletters:P314246.29.9"
214,Babili[Babylon]GN,akk.r00005,DUMU-MEŠ-KA₂.DINGIR,akk.r0000a,saao/sargonletters:P334189.15.4
215,Babili[Babylon]GN,qpn.r000f8,KA₂.DINGIR,qpn.r000f9,"saao/sargonletters:P313942.6.5,saao/sargonletters:P334113.28.6"
216,Babili[Babylon]GN,qpn.r000f8,KA₂.DINGIR.RA{KI},qpn.r000fa,"saao/sargonletters:P313483.9.2,saao/sargonletters:P314312.25.5,saao/sargonletters:P334343.34.2,saao/sargonletters:P334345.10.2,saao/sargonletters:P334441.25.2,saao/sargonletters:P334587.21.5,saao/sargonletters:P334711.7.5"
217,Babili[Babylon]GN,qpn.r000f8,KA₂.DINGIR{KI},qpn.r000fb,"saao/sargonletters:P313657.13.5,saao/sargonletters:P313924.11.3,saao/sargonletters:P313984.6.4,saao/sargonletters:P314155.8.2,saao/sargonletters:P314246.4.12,saao/sargonletters:P334125.10.5,saao/sargonletters:P334125.21.2,saao/sargonletters:P334692.12.2"
218,Babili[Babylon]GN,qpn.r000f8,KA₂.DINGIR{KI}-ma,qpn.r000fc,saao/sargonletters:P334316.34.2
219,Babili[Babylon]GN,qpn.r000f8,TIN.TIR{KI},qpn.r000fd,"saao/sargonletters:P334155.25.4,saao/sargonletters:P334201.5.4,saao/sargonletters:P336769.7.5"
220,Babili[Babylon]GN,qpn.r000f8,{URU}KA₂.DINGIR,qpn.r000fe,saao/sargonletters:P334178.21.7
221,Babili[Babylon]GN,qpn.r000f8,{URU}KA₂.DINGIR.RA,qpn.r000ff,saao/sargonletters:P334141.16.3
222,Babili[Babylon]GN,qpn.r000f8,{URU}KA₂.DINGIR{KI},qpn.r00100,"saao/sargonletters:P313781.11.4,saao/sargonletters:P313781.9.2,saao/sargonletters:P334045.10.2,saao/sargonletters:P334177.26.3,saao/sargonletters:P334177.37.4"
223,Babiti[1]GN,qpn.r00102,{KUR}ba-bi-ti,qpn.r00102,saao/sargonletters:P334279.46.4
224,Babu[1]PN,qpn.r00103,{1}ba-bu-u,qpn.r00104,saao/sargonletters:P314265.9.8
225,Babu[1]PN,qpn.r00103,{1}ba-bu-u₂,qpn.r00105,saao/sargonletters:P334615.5.2
226,Babutaya[Babutean]EN,qpn.r00106,{KUR}ba-bu-ta-a.a,qpn.r00106,saao/sargonletters:P313450.9.1
227,Badaya[1]PN,qpn.r00107,{1}ba-da-a,qpn.r00108,"saao/sargonletters:P313476.14.3,saao/sargonletters:P313476.28.3,saao/sargonletters:P313747.25.1"
228,Badaya[1]PN,qpn.r00107,{1}ba-da-a.a,qpn.r00109,saao/sargonletters:P334648.10.2
229,Baga-parna[1]PN,qpn.r0010a,{1}ba-ag-par-na,qpn.r0010b,saao/sargonletters:P334795.4.1
230,Baga-parna[1]PN,qpn.r0010a,{1}ba-ga-par-na,qpn.r0010c,saao/sargonletters:P334917.30.1
231,Bahianu[1]PN,qpn.r0010d,{1}ba-hi-a-ni,qpn.r0010e,saao/sargonletters:P334820.12.2
232,Bahianu[1]PN,qpn.r0010d,{1}ba-hi-a-nu,qpn.r0010f,"saao/sargonletters:P334820.5.1,saao/sargonletters:P334820.8.2"
233,Balassu[1]PN,qpn.r00110,{1}ba-la-su,qpn.r00110,"saao/sargonletters:P224485.59.3,saao/sargonletters:P313504.44.2,saao/sargonletters:P313504.46.1,saao/sargonletters:P313504.57.2,saao/sargonletters:P313507.25.3,saao/sargonletters:P334367.9.1"
234,Balaṭi[1]PN,qpn.r00111,{1}ba-la-ṭi-i,qpn.r00111,saao/sargonletters:P334116.34.4
235,Balṭi-iqbi[1]PN,qpn.r00112,{1}bal-ṭi-iq-bi,qpn.r00112,"saao/sargonletters:P313600.10.3,saao/sargonletters:P313600.7.3"
236,Ban-Ammanaya[Ammonite]EN,qpn.r00113,{KUR}ba-an-am-ma-na-a.a,qpn.r00113,saao/sargonletters:X900014.40.2
237,Banitu[1]DN,qpn.r00114,{d}ba-ni-tu₂,qpn.r00114,saao/sargonletters:P313491.40.4
238,Baqarru[1]GN,qpn.r00115,{URU}ba-qar,qpn.r00116,"saao/sargonletters:P313748.10.6,saao/sargonletters:P314249.7.2"
239,Baqarru[1]GN,qpn.r00115,{URU}ba-qar-ri,qpn.r00117,"saao/sargonletters:P313573.7.4,saao/sargonletters:P334377.26.3"
240,Bar-Ṣaruri[1]PN,qpn.r00118,{1}bur-ṣa-ru-ru,qpn.r00118,saao/sargonletters:P334592.11.2
241,Barhalza[1]GN,qpn.r00119,{KUR}bar-hal-za,qpn.r0011a,"saao/sargonletters:P334687.14.2,saao/sargonletters:P334727.6.2"
242,Barhalza[1]GN,qpn.r00119,{KUR}bar-hal-zi,qpn.r0011b,saao/sargonletters:P334046.11.2
243,Barik-il[1]PN,qpn.r0011c,{1}ba-ri-ki-DINGIR,qpn.r0011c,saao/sargonletters:P334413.6.2
244,Barsip[Borsippa]GN,akk.r0000b,DUMU-BAR₂.SIPA{KI},akk.r0000b,saao/sargonletters:P313859.14.4
245,Barsip[Borsippa]GN,qpn.r0011d,BAR₂.SIPA{KI},qpn.r0011e,"saao/sargonletters:P313859.16.5,saao/sargonletters:P314175.14.2,saao/sargonletters:P334201.5.5,saao/sargonletters:P334671.26.3"
246,Barsip[Borsippa]GN,qpn.r0011d,{URU}bur-si-bi,qpn.r0011f,saao/sargonletters:P334904.10.2
247,Barsipitu[1]PN,qpn.r00120,{MI₂}bur-si-pi-tu₂,qpn.r00120,saao/sargonletters:P314129.4.5
248,Barzaništa[1]GN,qpn.r00121,{URU}bar-za-ni-iš-ta,qpn.r00121,saao/sargonletters:P334093.26.2
249,Batulu[1]PN,qpn.r00122,{1}ba-tu-lu,qpn.r00122,"saao/sargonletters:P334386.3.1,saao/sargonletters:P334386.32.1,saao/sargonletters:P334386.35.2"
250,Baziya[1]PN,qpn.r00123,{1}ba-zi-ia,qpn.r00123,saao/sargonletters:P313609.10.2
251,Bel-Harran-belu-uṣur[1]PN,qpn.r00124,{1}EN-KASKAL-EN-PAB,qpn.r00124,saao/sargonletters:P313863.5.6
252,Bel-abu-uṣur[1]PN,qpn.r00125,{1}EN-AD-PAB,qpn.r00125,saao/sargonletters:P314023.3.2
253,Bel-age[Lord-of-the-Crown]DN,qpn.r00126,{d}EN-AGA,qpn.r00126,saao/sargonletters:P334331.12.5
254,Bel-ahhe-riba[1]PN,qpn.r00127,{1}EN-PAB-MEŠ-SU,qpn.r00127,saao/sargonletters:P334501.5.3
255,Bel-ahhe[1]PN,qpn.r00128,{1}EN-PAB-MEŠ,qpn.r00128,saao/sargonletters:P334705.29.3
256,Bel-ahu-iddina[1]PN,qpn.r00129,{1}EN-PAB-AŠ,qpn.r00129,saao/sargonletters:P313596.6.6
257,Bel-deni-amur[1]PN,qpn.r0012a,{1}EN-de-ni-a-mur,qpn.r0012a,saao/sargonletters:P334209.11.1
258,Bel-duri[1]PN,qpn.r0012b,{1}EN-BAD₃,qpn.r0012b,"saao/sargonletters:P313417.21.2,saao/sargonletters:P313417.26.4,saao/sargonletters:P313417.36.6,saao/sargonletters:P313417.46.5,saao/sargonletters:P313876.7.3,saao/sargonletters:P334104.33.2,saao/sargonletters:P334104.7.1,saao/sargonletters:P334422.25.2,saao/sargonletters:X900008.3.2,saao/sargonletters:X900011.3.2"
259,Bel-emuranni[1]PN,qpn.r0012c,{1}EN-IGI-an-ni,qpn.r0012d,saao/sargonletters:X900011.5.2
260,Bel-emuranni[1]PN,qpn.r0012c,{1}EN-IGI.LAL-ni,qpn.r0012e,"saao/sargonletters:P334197.3.2,saao/sargonletters:P334731.9.5"
261,Bel-emuranni[1]PN,qpn.r0012c,{1}{d}EN-IGI.LAL-an-ni,qpn.r0012f,"saao/sargonletters:P334731.22.2,saao/sargonletters:P334731.34.2"
262,Bel-eriba[1]PN,qpn.r00130,{1}{d}EN-SU,qpn.r00130,saao/sargonletters:P314018.3.2
263,Bel-eṭir[1]PN,qpn.r00131,{1}EN-KAR-ir,qpn.r00131,saao/sargonletters:P334519.7.6
264,Bel-ibni[1]PN,qpn.r00132,{1}EN-DU₃,qpn.r00133,saao/sargonletters:P314180.6.1
265,Bel-ibni[1]PN,qpn.r00132,{1}EN-ib-ni,qpn.r00134,saao/sargonletters:P334711.12.2
266,Bel-iddina[1]PN,qpn.r00135,{1}EN-AŠ,qpn.r00136,"saao/sargonletters:P334355.3.2,saao/sargonletters:P334583.5.3,saao/sargonletters:P334839.3.2"
267,Bel-iddina[1]PN,qpn.r00135,{1}EN-AŠ-ma,qpn.r00137,saao/sargonletters:P314039.8.3
268,Bel-iddina[1]PN,qpn.r00135,{1}EN-SUM-na,qpn.r00138,"saao/sargonletters:P313612.27.3,saao/sargonletters:P334199.30.3,saao/sargonletters:P334200.27.3,saao/sargonletters:P334558.5.4"
269,Bel-iddina[1]PN,qpn.r00135,{1}d.EN-SUM-na,qpn.r00139,"saao/sargonletters:P334152.12.3,saao/sargonletters:P334152.16.2"
270,Bel-ilaʾi[1]PN,qpn.r0013a,{1}{d}EN-DINGIR-a.a,qpn.r0013a,saao/sargonletters:P313617.5.1
271,Bel-iqbi[1]PN,qpn.r0013b,{1}EN-iq-bi,qpn.r0013c,"saao/sargonletters:P313721.21.6,saao/sargonletters:X900005.12.4"
272,Bel-iqbi[1]PN,qpn.r0013b,{1}{d}EN-iq-bi,qpn.r0013d,saao/sargonletters:P313511.14.1
273,Bel-iqiša[1]PN,qpn.r0013e,{1}EN-BA-ša₂,qpn.r0013e,"saao/sargonletters:P314046.6.1,saao/sargonletters:P334107.5.3,saao/sargonletters:P334204.5.2"
274,Bel-lamur[1]PN,qpn.r0013f,{1}EN-la-mur,qpn.r0013f,saao/sargonletters:P334155.17.5
275,Bel-lešir[1]PN,qpn.r00140,{1}EN-GIŠ,qpn.r00140,saao/sargonletters:X900008.8.3
276,Bel-leʾi[1]PN,qpn.r00141,{1}EN-ZU,qpn.r00141,"saao/sargonletters:P334163.3.2,saao/sargonletters:P334307.4.2"
277,Bel-liqbi[1]PN,qpn.r00142,{1}EN-liq-bi,qpn.r00142,"saao/sargonletters:P313425.3.2,saao/sargonletters:P334284.3.2,saao/sargonletters:P334643.3.2,saao/sargonletters:P334715.3.2"
278,Bel-nuri[1]PN,qpn.r00143,{1}EN-ZALAG₂,qpn.r00144,saao/sargonletters:P334693.18.1
279,Bel-nuri[1]PN,qpn.r00143,{1}EN-nu-ri,qpn.r00145,"saao/sargonletters:P334693.21.5,saao/sargonletters:P334693.5.2"
280,Bel-qatika-ṣabat[1]PN,qpn.r00146,{1}EN-ŠU.2-ṣa-bat,qpn.r00146,saao/sargonletters:P313518.10.2
281,Bel-qatua[1]PN,qpn.r00147,{1}EN-ŠU-u-a,qpn.r00147,saao/sargonletters:P313822.20.2
282,Bel-uduʾa[1]PN,qpn.r00148,{1}EN-u₂-du-u-a,qpn.r00148,saao/sargonletters:P313483.10.1
283,Bel-uṣur[1]PN,qpn.r00149,{1}{d}EN-PAB,qpn.r00149,saao/sargonletters:P334507.13.7
284,Bel-šarru-uṣur[1]PN,qpn.r0014a,{1}EN-MAN-PAB,qpn.r0014b,"saao/sargonletters:P334483.36.2,saao/sargonletters:P334483.39.4"
285,Bel-šarru-uṣur[1]PN,qpn.r0014a,{1}{d}EN-MAN-PAB,qpn.r0014c,saao/sargonletters:P313912.6.2
286,Bel[1]DN,qpn.r0014d,EN,qpn.r0014e,"saao/sargonletters:P224485.29.5,saao/sargonletters:P224485.53.5,saao/sargonletters:P224485.8.6,saao/sargonletters:P334698.5.2"
287,Bel[1]DN,qpn.r0014d,d.EN,qpn.r0014f,"saao/sargonletters:P313458.9.6,saao/sargonletters:P334158.4.3,saao/sargonletters:P334388.6.6,saao/sargonletters:P334586.44.1,saao/sargonletters:P334586.45.2,saao/sargonletters:P334586.6.7,saao/sargonletters:P334587.22.1,saao/sargonletters:P334587.22.3,saao/sargonletters:P334587.8.1"
288,Bel[1]DN,qpn.r0014d,{d}EN,qpn.r00150,"saao/sargonletters:P334543.32.2,saao/sargonletters:P334586.17.9,saao/sargonletters:P334587.6.2,saao/sargonletters:P334782.11.1"
289,Belu-lu-balaṭ[1]PN,qpn.r00151,{1}EN-lu-TI.LA,qpn.r00151,"saao/sargonletters:P334820.22.3,saao/sargonletters:P334820.30.1,saao/sargonletters:P334820.6.3"
290,Belšunu[1]PN,qpn.r00152,{1}EN-šu₂-nu,qpn.r00152,"saao/sargonletters:P313647.6.2,saao/sargonletters:P313680.6.2,saao/sargonletters:P314127.5.2"
291,Bienši[1]GN,qpn.r00153,{URU}bi-en-ši,qpn.r00153,saao/sargonletters:P314298.8.2
292,Birataya[Biratean]EN,qpn.r00154,{KUR}bi-ra-ta-a.a,qpn.r00155,saao/sargonletters:P334271.9.3
293,Birataya[Biratean]EN,qpn.r00154,{KUR}bi-rat-a.a,qpn.r00156,saao/sargonletters:P334904.13.3
294,Birataya[Biratean]EN,qpn.r00154,{URU}HAL.ṢU-a.a,qpn.r00157,saao/sargonletters:P393866.27.1
295,Birate[1]GN,qpn.r00158,{KUR}bi-ra-a-te,qpn.r00159,"saao/sargonletters:P334047.9.3,saao/sargonletters:P334904.11.2,saao/sargonletters:P334904.12.3"
296,Birate[1]GN,qpn.r00158,{KUR}bir-a-te,qpn.r0015a,saao/sargonletters:P313619.18.5
297,Birate[1]GN,qpn.r00158,{URU}HAL.ṢU,qpn.r0015b,saao/sargonletters:P334142.37.4
298,Birate[1]GN,qpn.r00158,{URU}bi-ra-a-ti,qpn.r0015c,"saao/sargonletters:P314180.5.2,saao/sargonletters:P314180.6.3"
299,Birate[1]GN,qpn.r00158,{URU}bi-ra-ti,qpn.r0015d,"saao/sargonletters:P313630.8.4,saao/sargonletters:P334711.8.4"
300,Birate[1]GN,qpn.r00158,{URU}bi-rat,qpn.r0015e,saao/sargonletters:P334037.8.3
301,Birate[1]GN,qpn.r00158,{URU}bir-a-te,qpn.r0015f,"saao/sargonletters:P334118.11.4,saao/sargonletters:P334721.23.7"
302,Birate[1]GN,qpn.r00158,{URU}bir-ra-a-te,qpn.r00160,saao/sargonletters:P313783.3.5
303,Biriaun[1]PN,qpn.r00165,{1}bi-ri-a-un,qpn.r00165,saao/sargonletters:P337150.8.2
304,Bit-Abdadani[1]GN,qpn.r00166,{KUR}E₂-ab-da-da-a-ni,qpn.r00166,saao/sargonletters:P313883.8.2
305,Bit-Amukannaya[1]EN,qpn.r00167,E₂-{1}u₂-ka-na-a.a,qpn.r00168,saao/sargonletters:P334771.18.6
306,Bit-Amukannaya[1]EN,qpn.r00167,E₂-{1}u₂-kan-a.a,qpn.r00169,"saao/sargonletters:P334139.22.2,saao/sargonletters:P334139.29.2"
307,Bit-Amukannaya[1]EN,qpn.r00167,{LU₂}E₂-{1}u₂-ka-na-a.a,qpn.r0016a,saao/sargonletters:P313910.5.1
308,Bit-Amukanni[1]GN,qpn.r0016b,E₂-{1}u₂-ka-ni,qpn.r0016c,saao/sargonletters:P334905.17.3
