,headword,xis_entry,form,xis_form,instances_all
136,Asdudaya[Ashdodite]EN,qpn.r000a2,{KUR}sa-du-da-a.a,qpn.r000a2,"saao/sargonletters:P334143.60.3,saao/sargonletters:X900014.45.2"
137,Asrukanu[1]PN,qpn.r000a3,{1}as-ru-ka-a-ni,qpn.r000a4,saao/sargonletters:P334917.27.2
138,Asrukanu[1]PN,qpn.r000a3,{1}as-ru-ka-ni,qpn.r000a5,saao/sargonletters:P334077.23.6
139,Asrukanu[1]PN,qpn.r000a3,{1}as-ru-ka-nu,qpn.r000a6,saao/sargonletters:P334697.4.3
140,Ata[1]PN,qpn.r000a8,{1}a-ta-a,qpn.r000a8,saao/sargonletters:P334163.33.3
141,Atanha-Šamaš[1]PN,qpn.r000a9,{1}a-tan-ha-{d}UTU,qpn.r000a9,"saao/sargonletters:P313474.3.2,saao/sargonletters:P314049.3.2"
142,Atta-idri[1]PN,qpn.r000aa,{1}a-ta-a-id-ri,qpn.r000aa,saao/sargonletters:P313822.10.1
143,Attar-ham[1]PN,qpn.r000ab,{1}a-tar-ha-am,qpn.r000ab,"saao/sargonletters:P313474.29.2,saao/sargonletters:P313474.5.1"
144,Atunnaya[1]EN,qpn.r000ac,{KUR}at-tu-na-a.a,qpn.r000ad,saao/sargonletters:P334443.13.2
145,Atunnaya[1]EN,qpn.r000ac,{URU}a-tu₂-na-a.a,qpn.r000ae,saao/sargonletters:P224485.45.8
146,Aya-barakka[1]PN,qpn.r000af,{1}a.a-BARAG,qpn.r000af,saao/sargonletters:P334835.5.5
147,Aya-hari[1]PN,qpn.r000b0,{1}ia-ha-ri,qpn.r000b0,saao/sargonletters:P313702.17.2
148,Ayaru[Iyyar]MN,qpn.r000b1,{ITI}GUD,qpn.r000b1,"saao/sargonletters:P313509.7.4,saao/sargonletters:P334167.14.5,saao/sargonletters:P334167.9.5,saao/sargonletters:P334213.15.7"
149,Aza[1]PN,qpn.r000b2,{1}a-za-a,qpn.r000b2,saao/sargonletters:P314294.7.1
150,Azari[1]GN,qpn.r000b3,{URU}a-za-ri,qpn.r000b3,saao/sargonletters:P334439.25.3
151,Ašapi[1]PN,qpn.r000b4,{1}a-ša₂-pi,qpn.r000b4,saao/sargonletters:P334284.37.4
152,Ašipa[1]PN,qpn.r000b5,{1}a-ši-pa-a,qpn.r000b5,"saao/sargonletters:P313480.23.2,saao/sargonletters:P313547.12.3,saao/sargonletters:P313743.3.2,saao/sargonletters:P313996.3.2,saao/sargonletters:P334190.2.4,saao/sargonletters:P334194.3.2,saao/sargonletters:P334296.3.2,saao/sargonletters:P334347.3.2,saao/sargonletters:P334348.3.2,saao/sargonletters:P334349.3.2,saao/sargonletters:P334350.3.2,saao/sargonletters:P334351.3.2,saao/sargonletters:P334642.3.2,saao/sargonletters:P334778.4.3"
153,Ašpa-bara[1]PN,qpn.r000b6,{1}aš₂-pa-ba-ra,qpn.r000b7,saao/sargonletters:P334446.13.1
154,Ašpa-bara[1]PN,qpn.r000b6,{1}aš₂-pa-ba-ri,qpn.r000b8,"saao/sargonletters:P314232.33.2,saao/sargonletters:P314301.13.7,saao/sargonletters:P334119.31.2,saao/sargonletters:P334119.8.1,saao/sargonletters:P334673.15.3"
155,Ašpa-bara[1]PN,qpn.r000b6,{1}iš-pa-ba-ra,qpn.r000b9,saao/sargonletters:P334922.15.2
156,Aššur-alik-pani[1]PN,qpn.r000ba,{1}aš-šur-a-lik-pa-an,qpn.r000bb,saao/sargonletters:P334558.3.2
157,Aššur-alik-pani[1]PN,qpn.r000ba,{1}aš-šur-a-lik-pa-ni,qpn.r000bc,"saao/sargonletters:P313883.3.2,saao/sargonletters:P334554.3.2,saao/sargonletters:P334555.3.2,saao/sargonletters:P334556.3.2,saao/sargonletters:P334557.3.2,saao/sargonletters:P334559.3.2,saao/sargonletters:P334664.4.1,saao/sargonletters:P334863.3.2"
158,Aššur-ašared[1]PN,qpn.r000bd,{1}aš-šur-MAŠ,qpn.r000bd,saao/sargonletters:P313511.29.1
159,Aššur-balti-niše[1]PN,qpn.r000be,{1}aš-šur-TEŠ₂-UN-MEŠ,qpn.r000bf,"saao/sargonletters:P313626.29.1,saao/sargonletters:P334151.3.2"
160,Aššur-balti-niše[1]PN,qpn.r000be,{1}aš-šur-TEŠ₂-UN-MEŠ-ma,qpn.r000c0,saao/sargonletters:P334195.25.1
161,Aššur-bani[1]PN,qpn.r000c1,{1}aš-šur-ba-ni,qpn.r000c1,"saao/sargonletters:P313975.3.2,saao/sargonletters:P314003.3.2,saao/sargonletters:P334170.3.2,saao/sargonletters:P334171.3.2,saao/sargonletters:P334172.3.2,saao/sargonletters:P334173.3.2,saao/sargonletters:P334174.3.2,saao/sargonletters:P334175.3.2,saao/sargonletters:P334176.3.2,saao/sargonletters:P334288.3.2,saao/sargonletters:P334397.3.2,saao/sargonletters:P336168.3.2"
162,Aššur-bel-šarrani[1]PN,qpn.r000c2,{1}aš-šur-EN-MAN-MEŠ-ni,qpn.r000c2,saao/sargonletters:P334859.3.2
