lemma	norm	form	cf
ziqnu[beard]N	ziqnīšunu	ziq-ni-šu₂-nu	1
ziqpu[shoot]N	ziqpu	{GIŠ}ziq-pu	4
ziqpu[shoot]N	ziqpī	zi-iq-pi	1
ziqpu[shoot]N	ziqpī	{GIŠ}ziq-pi	7
ziqqurratu[ziggurrat]N	siqqurrete	si-qur-e-te	1
ziqqurratu[ziggurrat]N	siqqurrite	si-qur-ri-te	3
ziāqu[blow]V	izzīqa	i-zi-qa	1
zukkû[purified]AJ	zakkû	zak-ku-u₂	1
zunnu[rain]N	zunni	A.AN	1
zunnu[rain]N	zunni	E₂-{d}IM-ša₂-zu-un-ni	1
zunnu[rain]N	zunnu	A.AN	5
zunnu[rain]N	zunnī	A.AN-MEŠ	5
zunzurahhu[(a military groom)?]N	zunzurahhī	{LU₂}zu-un-zu-ra-hi	1
zuqqupu[fixed]AJ	zaqqupa	za-qu-pa	1
zuʾʾû[(meaning unknown)]V	uzaʾʾunāši	u₂-za-ʾu-u-na-ši	1
zâzu[divide]V	uzaʾʾizūni	u₂-za-ʾi-zu-u-ni	1
zâzu[divide]V	uzâza	u₂-za-za	1
zâzu[divide]V	zūza	zu-za	1
zāratu[tent]N	zārāt	{TUG₂}za-rat	1
zēru[seed(s)]N	zarʾu	{ŠE}NUMUN	1
zēru[seed(s)]N	zarʾē	NUMUN-MEŠ	1
zēru[seed(s)]N	zarʾē	{ŠE}NUMUN	8
zēru[seed(s)]N	zarʾē	{ŠE}NUMUN-MEŠ	18
zēru[seed(s)]N	zarʾēšina	{ŠE}NUMUN-MEŠ-ši-na	2
zēru[seed(s)]N	zarʾēšunu	NUMUN-MEŠ-šu₂-nu	1
zēru[seed(s)]N	zarʾēšunu	{ŠE}NUMUN-MEŠ-šu₂-nu	4
zēru[seed(s)]N	zarʾēšunu	{ŠE}NUMUN-šu₂-nu	1
zēru[seed(s)]N	zār	NUMUN	1
zēru[seed(s)]N	zāršu	NUMUN-šu₂	1
zēru[seed(s)]N	zēr	NUMUN—LUGAL	3
zūku[infantry]N	zūku	{LU₂}zu-ku	2
âdu[take notice of]V	ušâd	u₂-ša₂-ad	1
āliku[going]AJ	ālikūti	a-lik-u₂-ti	1
ālu[city]N	āli	EN—URU	3
ālu[city]N	āli	MURUB₄—URU	1
ālu[city]N	āli	URU	34
ālu[city]N	āli	{LU₂}EN—URU	7
ālu[city]N	ālikunu	EN—URU-ku-nu	1
ālu[city]N	ālinni	EN—URU-in-ni	1
ālu[city]N	ālu	URU	29
ālu[city]N	ālu	a-lu	1
ālu[city]N	ālāni	EN—URU.URU-MEŠ	1
ālu[city]N	ālāni	URU-ME	1
ālu[city]N	ālāni	URU-MEŠ	22
ālu[city]N	ālāni	URU-MEŠ-ni	17
ālu[city]N	ālāni	{LU₂}EN—URU-MEŠ	8
ālu[city]N	ālāni	{LU₂}EN—URU-MEŠ-ni	2
ālu[city]N	ālāni	{LU₂}EN—URU-a-ni	1
ālu[city]N	ālāni	{LU₂}GAL—URU	1
ālu[city]N	ālāni	{LU₂}GAL—URU-MEŠ	6
ālu[city]N	ālāni	{LU₂}GAL—URU-MEŠ-ni	2
ālu[city]N	ālānikunu	URU-MEŠ-ni-ku-nu	1
ālu[city]N	ālānišunu	URU-ME-šu₂-nu	1
ālu[city]N	ālānišunu	URU-MEŠ-šu₂-nu	1
ālu[city]N	ālānišunu	{LU₂}GAL—URU-MEŠ-šu₂-nu	2
ālu[city]N	ālānāte	{LU₂}GAL—URU-MEŠ-te	1
ālu[city]N	ālānīma	URU-MEŠ-ni-ma	1
ālu[city]N	ālānīma	{LU₂}GAL—URU-MEŠ-ma	1
ālu[city]N	ālānīni	URU-MEŠ-ni	1
ālu[city]N	ālānīya	URU-MEŠ-ia	1
ālu[city]N	ālānīya	URU-MEŠ-ni-ia	2
ālu[city]N	ālānīšu	URU-MEŠ-ni-šu₂	1
ālu[city]N	ālānīšu	URU-MEŠ-šu₂	2
ālu[city]N	ālānīšu	{LU₂}GAL—URU-MEŠ-šu₂	1
ālu[city]N	ālīka	URU-ka	1
ālu[city]N	ālīya	URU-ia	1
ālu[city]N	ālīšu	URU-šu	1
ālu[city]N	ālīšu	URU-šu₂	3
ālu[city]N	ālšu	URU-šu₂	2
ālāyû[citizen]N	ālāya	URU-a.a	1
ālūtu[of the city]N	ālūte	{LU₂}GAL—URU-ME-te	1
ālūtu[of the city]N	ālūti	{LU₂}EN—URU-u₂-ti	2
ālūtu[of the city]N	ālūtê	EN—URU-u-te-e	1
ārišūtu[agricultural tenancy]N	ārišūte	a-ri-šu-te	1
āšibu[sitting]AJ	āšibi	a-ši-bi	1
āšibu[sitting]AJ	āšibūte	a-ši-bu-te	2
āšibu[sitting]AJ	āšibūtu	a-ši-bu-tu₂	1
āšipu[sorcerer]N	āšipi	{LU₂}MAŠ.MAŠ	1
āṣītu[exit]N	āṣīti	a-ṣi-ti	1
ēdumānu[single]AJ	ēdumānu	e-du-ma-nu	1
ēdēnû[single]AJ	ēdānûti	{ANŠE}DIL-MEŠ	2
ēdēnû[single]AJ	ēdānûti	{ANŠE}e-da-nu-ti	1
ēdēnû[single]AJ	ēdānīe	e-da-ni-e	1
ēdēnû[single]AJ	ēdānīu	{ANŠE}DIL	1
ēdēnû[single]AJ	ēdēnāte	DIL-na-te	1
ēdēnû[single]AJ	ēdēnītu	DIL-ni-tu₂	1
ēkallu[palace]N	ēkal	E₂.GAL	1
ēkallu[palace]N	ēkal	E₂.GAL-ma-šar-te	1
ēkallu[palace]N	ēkal	E₂.GAL-ma-šar-ti	2
ēkallu[palace]N	ēkalli	E₂.GAL	111
ēkallu[palace]N	ēkalli	GEME₂—E₂.GAL	2
ēkallu[palace]N	ēkalli	KUR	1
ēkallu[palace]N	ēkalli	MI₂—E₂.GAL	7
ēkallu[palace]N	ēkalli	{LU₂}A.BA—E₂.GAL	1
ēkallu[palace]N	ēkalli	{LU₂}A.BA—KUR	1
ēkallu[palace]N	ēkalli	{LU₂}ARAD—E₂.GAL	1
ēkallu[palace]N	ēkalli	{LU₂}GAL—E₂.GAL	5
ēkallu[palace]N	ēkalli	{LU₂}NIGIR—E₂.GAL	3
ēkallu[palace]N	ēkalli	{LU₂}NIGIR₂—E₂.GAL	7
ēkallu[palace]N	ēkalli	{LU₂}ŠU₂.NIGIR₂—E₂.GAL	1
ēkallu[palace]N	ēkallu	E₂.GAL	1
ēkallu[palace]N	ēkallê	E₂.GAL-e	1
ēkallu[palace]N	ēkallāte	E₂.GAL-MEŠ	3
ēkallu[palace]N	ēkallīya	E₂.GAL-ia	1
ēkurru[temple]N	ēkurri	E₂.KUR	2
ēkurru[temple]N	ēkurri	E₂.KUR-ri	1
ēkurru[temple]N	ēkurru	E₂.KUR	2
ēkurru[temple]N	ēkurrāte	E₂.KUR-MEŠ	9
ēkurru[temple]N	ēkurrāte	E₂.KUR-MEŠ-te	7
ēkurru[temple]N	ēkurrāte	E₂.KUR-ra-a-te	2
ēkurru[temple]N	ēkurrātišunu	E₂.KUR-ra-ti-šu₂-nu	1
ēpišu[doer]N	ēpiš	{LU₂}e-piš-dul-li	1
ēpišu[doer]N	ēpišu	e-pi-šu	1
ēpišu[doer]N	ēpišu	e-pi-šu₂	1
ēpišu[doer]N	ēpišūte	e-pi-šu₂-te	1
ēpû[baker]N	āpiu	{LU₂}NINDA	1
ēpû[baker]N	āpiāni	{LU₂}NINDA-MEŠ	1
ēribu[enterer]N	ēribtu	{LU₂}e-rib-tu₂	2
īnu[eye]N	ēni	{ID₂}e-ni	1
īnu[eye]N	ēnāti	IGI.2	1
īnu[eye]N	ēnāti	IGI.2-MEŠ	7
īnu[eye]N	ēnātišunu	IGI.2-MEŠ-šu₂-nu	2
īnu[eye]N	ēnātīka	IGI.2-MEŠ-ka	1
īnu[eye]N	ēnātīka	IGI.2-ka	1
īnu[eye]N	ēnātīšu	IGI.2-MEŠ-šu	1
īnu[eye]N	ēnātīšu	IGI.2-MEŠ-šu₂	3
īnu[eye]N	ēnātīšu	IGI.2-šu₂	2
īnu[eye]N	ēnī	e-ni	2
īṣu[few]AJ	ēṣa	e-ṣa	1
īṣu[few]AJ	ēṣašunu	e-ṣa-šu₂-nu	1
īṣu[few]AJ	ēṣe	e-ṣe	2
īṣu[few]AJ	ēṣu	e-ṣu	2
īṣu[few]AJ	ēṣî	e-ṣi-i	1
īṣu[few]AJ	ēṣātemma	e-ṣa-te-em-ma	1
īṣu[few]AJ	ēṣūni	e-ṣu-ni	3
Ša-Aššur-dubbu[1]PN	Ša-Aššur-dubbu	{1}ša-aš-šur-du-bu	4
Ša-Aššur-dubbu[1]PN	Ša-Aššur-dubbu	{1}ša-aš-šur-du-ub-bu	1
Ša-Aššur-dubbu[1]PN	Ša-Aššur-dubbu	{1}ša₂-aš-šur-du-bu	4
Ša-ili-dubbu[1]PN	Ša-ili-dubbu	{1}ša-DINGIR-du-bu	1
Ša-la-ili-mannu[1]PN	Ša-la-ili-mannu	{1}ša₂-la-DINGIR-man-nu	1
Šabaṭu[Shebat]MN	Šabaṭi	{ITI}ZIZ₂	8
Šabbu[1]GN	Šabbu	{URU}šab-bu	1
Šabirešu[1]GN	Šabirešu	{URU}ša-bi-ri-šu₂	1
Šabirešu[1]GN	Šabirešu	{URU}ša₂-bi-ri-šu₂	8
Šadikannaya[from Šadikanni]EN	Šedikannaya	{URU}še-di-kan-a.a	3
Šamaš-abu-uṣur[1]PN	Šamaš-abu-uṣur	{1}{d}UTU—AD—PAB	1
Šamaš-ahu-iddina[1]PN	Šamaš-ahu-iddina	{1}{d}UTU—PAB—AŠ	1
Šamaš-belu-uṣur[1]PN	Šamaš-belu-uṣur	{1}{d}UTU—EN—PAB	18
Šamaš-ilaʾi[1]PN	Šamaš-ilaʾi	{1}{d}UTU—DINGIR-a.a	3
Šamaš-išmanni[1]PN	Šamaš-išmanni	{1}{d}UTU—HAL-ni	1
Šamaš-naṣir[1]GN	Šamaš-naṣere	{URU}{d}ša₂-maš-na-ṣe-e-re	1
Šamaš-naṣir[1]GN	Šamaš-naṣir	{URU}{d}ša₂-maš-PAB-ir	4
Šamaš-reʾuwa[1]PN	Šamaš-reʾuwa	{1}{d}UTU-re-ʾu-u₂-a	1
Šamaš-ruqaya[1]PN	Šamaš-ruqaya	{1}{d}UTU—SUD-a.a	1
Šamaš-taklak[1]PN	Šamaš-taklak	{1}{d}UTU-tak-lak	2
Šamaš-ukin[1]PN	Šamaš-ukin	{1}{d}UTU—GIN-in	1
Šamaš-upahhir[1]PN	Šamaš-upahhir	{1}{d}UTU-u₂-pa-hir₂	2
Šamaš[1]DN	Šamaš	E₂-{d}UTU	1
Šamaš[1]DN	Šamaš	{d}UTU	3
Šamaš[1]DN	Šamaš	{d}ša₂-maš	3
Šaparda[1]GN	Šaparda	{KUR}ša₂-bar-da	1
Šaparda[1]GN	Šapardu	{KUR}ša₂-bar-du	1
Šari[1]PN	Šari	{1}ša₂-ri-i	1
Šarru-emuranni[1]PN	no-norm	{1}LUGAL—IGI.LAL-a-ni	3
Šarru-emuranni[1]PN	no-norm	{1}LUGAL—IGI.LAL-an-ni	6
Šarru-emuranni[1]PN	no-norm	{1}LUGAL—IGI.LAL-ni	3
Šarru-emuranni[1]PN	no-norm	{1}MAN—IGI-a-ni	1
Šarru-emuranni[1]PN	no-norm	{1}MAN—IGI.LAL-an-ni	7
Šarru-emuranni[1]PN	no-norm	{1}MAN—IGI.LAL-ni	3
Šarru-emuranni[1]PN	Šarru-emuranni	{1}LUGAL-e-mur-an-ni	6
Šarru-emuranni[1]PN	Šarru-emuranni	{1}LUGAL—IGI.LAL-a-ni	1
Šarru-emuranni[1]PN	Šarru-emuranni	{1}LUGAL—IGI.LAL-an-ni	1
Šarru-emuranni[1]PN	Šarru-emuranni	{1}LUGAL—IGI.LAL-ni	1
Šarru-emuranni[1]PN	Šarru-emuranni	{1}MAN—IGI-a-ni	1
Šarru-emuranni[1]PN	Šarru-emuranni	{1}MAN—IGI-ni	1
Šarru-emuranni[1]PN	Šarru-emuranni	{1}MAN—IGI.LAL-a-ni	1
Šarru-emuranni[1]PN	Šarru-emuranni	{1}MAN—IGI.LAL-an-ni	1
Šarru-emuranni[1]PN	Šarru-emuranni	{1}MAN—IGI.LAL-ni	1
Šarru-emuranni[2]PN	Šarru-emurannimma	{1}MAN—IGI.LAL-ni-ma	1
Šarru-iqbi[1]GN	Šarru-iqbi	{URU}MAN-iq-bi	1
Šarru-lu-dari[1]PN	Šarru-lu-dari	{1}LUGAL-lu-da-a-ri	1
Šarru-lu-dari[1]PN	Šarru-lu-dari	{1}MAN-lu-da₃-ri	1
Šarru-nuri[1]PN	Šarru-nuri	{1}LUGAL-nu-ri	1
Šattera[1]GN	Šattera	{KUR}ša₂-at-te-ra	1
Šep-Aššur[1]PN	Šep-Aššur	{1}GIR₃.2-aš-šur	6
Šibirtu[1]GN	Šibirtu	{URU}ši-bir-tu₂	1
Šibṭuru[1]GN	Šibṭuru	{KUR}ši-ib-ṭu-ru	1
Šidada[1]DN	Šidada	{d}ši-da-da	2
Šimkaya[1]PN	Šimkaya	{1}ši-im-ka-ia	1
Šimu[1]GN	Šime	{URU}ši-i-me	1
Šingibutu[1]GN	Singibuti	{KUR}si-in-gi-bu-ti	1
Šingibutu[1]GN	Šingibutu	{KUR}šin-gi-bu-tu₂	1
Šitabni[1]GN	Šitabni	{URU}ši-i-tab-ni	1
Šubria[1]GN	Šubria	{KUR}šu-ub-ri-a	1
Šubria[1]GN	Šubria	{KUR}šub-ri-a	4
Šubria[1]GN	Šubura	{KUR}šu-bur-a	2
Šubriaya[Šubrian]EN	Šubriaya	{KUR}šu-ub-ri-a.a	2
Šubriaya[Šubrian]EN	Šubriaya	{KUR}šub-ri-a.a	10
Šubriaya[Šubrian]EN	Šuburaya	{KUR}šu-bur-a.a	2
Šuguraya[Šugurean]EN	Šuguraya	{URU}šu₂-gur-a.a	1
Šulmu-bel-ašme[1]PN	Šulmu-bel-ašme	{1}DI—EN-aš₂-me	1
Šulmu-beli-lašme[1]PN	no-norm	{1}DI—EN-la-aš₂-me	1
Šulmu-beli-lašme[1]PN	Šulmu-beli-lašme	{1}DI-mu-EN-la-aš₂-me	1
Šulmu-beli-lašme[1]PN	Šulmu-beli-lašme	{1}DI—EN-la-aš₂-me	1
Šulmu-beli[1]PN	Šulmu-beli	{1}DI-mu-EN	12
Šulmu-šarri[1]PN	Šulmu-šarri	{1}DI-mu-LUGAL	1
Šuru[1]GN	Šuri	{URU}šu-u-ri	1
Šuzubu[1]PN	Šuzubu	{1}šu-zu-bu	1
ša-arīti[shield-bearer]N	ša-arīt	ša-{GIŠ}a-rit	1
ša-arīti[shield-bearer]N	ša-arīti	{LU₂}ša-{GIŠ}a-ri-ti	1
ša-bēt-kūdini[mule stable man]N	ša-bēt-kūdin	{LU₂}ša-E₂-ku-din	5
ša-bēt-kūdini[mule stable man]N	ša-bēt-kūdin	{LU₂}ša-E₂-{ANŠE}ku-din	1
ša-bēt-kūdini[mule stable man]N	ša-bēt-kūdin	{LU₂}ša₂-E₂-ku-din	2
ša-bēt-kūdini[mule stable man]N	ša-bēt-kūdin	{LU₂}ša₂-E₂-{ANŠE}ku-din	1
ša-bēt-qiqî[(profession)]N	ša-bēt-qiqî	{LU₂}ša-E₂-qi-qi-i	1
ša-bēti-šanie[domestic servant]N	ša-bēti-šanie	{LU₂}ša-E₂-02-e	1
ša-bēti-šanie[domestic servant]N	ša-bēti-šanie	{LU₂}ša₂-E₂-02-e	1
ša-bēti-šanie[domestic servant]N	ša-bēti-šaniūte	{LU₂}ša₂-E₂-02-u-te	1
ša-bīrāti[garrison troops]N	ša-bīrāti	{LU₂}ša-HAL.ṢU-MEŠ	1
ša-kubšēšu[turban-purveyor]N	ša-kubšīšušunu	{LU₂}ša₂-U.SAG-MEŠ-šu₂-nu	1
ša-lišāni[informer]N	ša-lišāni	{LU₂}EME	2
ša-maṣṣarti[guard]N	ša-maṣṣarti	{LU₂}EN.NUN	3
ša-maṣṣarti[guard]N	ša-maṣṣarti	{LU₂}ša-EN.NUN	1
ša-maṣṣarti[guard]N	ša-maṣṣarti	{LU₂}ša₂-EN.NUN	4
ša-muhhi-bēti[overseer of the household]N	ša-muhhi-bēti	{LU₂}ša₂-UGU—E₂	3
ša-muhhi-bēti[overseer of the household]N	ša-muhhi-bētāni	{LU₂}ša₂-UGU—E₂-a-ni	1
ša-muhhi-āli[town overseer]N	ša-muhhi-āli	{LU₂}ša-UGU—URU	1
ša-muhhi-āli[town overseer]N	ša-muhhi-āli	{LU₂}ša₂-UGU—URU	4
ša-pān-pēthalli[cavalry foreman]N	ša-pān-pēthallu	ša-pa-an-{ANŠE}BAD-HAL-lu	1
ša-pān-ēkalli[palace supervisor]N	ša-pān-ēkalli	{LU₂}ša-pa-an-E₂.GAL	2
ša-pān-ēkalli[palace supervisor]N	ša-pān-ēkalli	{LU₂}ša₂-IGI—E₂.GAL	6
ša-pān-ēkalli[palace supervisor]N	ša-pān-ēkalli	{LU₂}ša₂-IGI—KUR	3
ša-pēthalli[rider]N	ša-pēthal	{LU₂}ša₂-pet-hal	1
ša-pēthalli[rider]N	ša-pēthalli	{LU₂}ša-BAD-HAL	1
ša-pēthalli[rider]N	ša-pēthalli	{LU₂}ša-BAD-HAL-li	1
ša-pēthalli[rider]N	ša-pēthalli	{LU₂}ša₂-BAD-HAL-li	1
ša-pēthalli[rider]N	ša-pēthalli	ša-{LU₂}BAD-HAL	1
ša-pēthalli[rider]N	ša-pēthalliāti	ša-{LU₂}BAD-HAL-li-a-ti	1
ša-pēthalli[rider]N	ša-pēthallum	{LU₂}ša-BAD-HAL-lum	1
ša-pēthalli[rider]N	ša-pēthallum	{LU₂}ša₂-BAD-HAL-lum	1
ša-pēthalli[rider]N	ša-pēthallāte	{LU₂}ša₂-BAD-HAL-a-te	1
ša-pēthalli[rider]N	ša-pēthallāte	{LU₂}ša₂-pet-hal-a-te	2
ša-pēthalli[rider]N	ša-pēthallāti	{ANŠE}ša-BAD-HAL-la-ti	1
ša-pēthalli[rider]N	ša-pēthallāti	{LU₂}ša-BAD-HAL-MEŠ	5
ša-pēthalli[rider]N	ša-pēthallāti	{LU₂}ša₂-BAD-HAL-MEŠ	1
ša-pēthalli[rider]N	ša-pēthallāti	{LU₂}ša₂-pet-hal-la-ti	1
ša-pēthalli[rider]N	ša-pēthallāti	ša-BAD-HAL-a-te	1
ša-pēthalli[rider]N	ša-pēthallātišunu	{LU₂}ša-BAD-HAL-MEŠ-šu₂-nu	1
ša-pēthalli[rider]N	ša-pēthallātīma	{LU₂}ša-BAD-HAL-MEŠ-ma	1
ša-pēthallāti[cavalry]N	ša-pēthallāti	{LU₂}ša-BAD-HAL-MEŠ	1
ša-qurbūti[close follower]N	ša-qurbūte	{LU₂}qur-bu-te	32
ša-qurbūti[close follower]N	ša-qurbūti	{LU₂}qur-bu-ti	25
ša-qurbūti[close follower]N	ša-qurbūti	{LU₂}qur-bu-u-ti	2
ša-qurbūti[close follower]N	ša-qurbūtimma	{LU₂}qur-bu-ti-ma	1
ša-qurbūti[close follower]N	ša-qurbūtu	{LU₂}qur-bu-tu	1
ša-qurbūti[close follower]N	ša-qurbūtu	{LU₂}qur-bu-tu₂	10
ša-qurbūti[close follower]N	ša-qurbūtēya	{LU₂}qur-bu-te-ia	1
ša-qurbūti[close follower]N	ša-qurbūtīya	{LU₂}qur-bu-ti-ia	1
ša-rēš-šarri[royal eunuch]N	ša-rēš-šarri	{LU₂}SAG—MAN	1
ša-rēši[eunuch]N	no-norm	{LU₂}GAL—SAG	2
ša-rēši[eunuch]N	ša-rēši	{LU₂}GAL—SAG	11
ša-rēši[eunuch]N	ša-rēši	{LU₂}SAG	20
ša-rēši[eunuch]N	ša-rēšāni	{LU₂}SAG-MEŠ	7
ša-rēši[eunuch]N	ša-rēšāni	{LU₂}SAG-MEŠ-ni	2
ša-rēši[eunuch]N	ša-rēšānīya	{LU₂}SAG-MEŠ-ia	2
ša-rēši[eunuch]N	ša-rēšīya	{LU₂}SAG-ia	4
ša-rēši[eunuch]N	ša-rēšīšu	{LU₂}SAG-šu₂	1
ša-sāgātēšu[kilt-dealer]N	ša-sāgātēšu	{LU₂}ša₂-sa-ga-te-šu₂	1
ša-ziqni[bearded courtier]N	ša-ziqni	{LU₂}ša-ziq-ni	1
ša-ziqni[bearded courtier]N	ša-ziqni	{LU₂}ša₂-ziq-ni	1
ša-ziqni[bearded courtier]N	ša-ziqnāni	{LU₂}ša-SU₆-MEŠ	1
ša-šēpi[(kingʾs) personal guard]N	ša-šēpi	{LU₂}ša₂-GIR₃.2	1
ša-šīmi[man bought]N	ša-šīmi	{LU₂}ŠAM₂	2
ša-šīmi[man bought]N	ša-šīmī	{LU₂}ŠAM₂-MEŠ	3
ša[of]DET	ša	E₂-{d}IM-ša₂-zu-un-ni	1
ša[of]DET	ša	ra-ma-ki-ša-KA	1
ša[of]DET	ša	ša	1492
ša[of]DET	ša	ša₂	30
ša[that]REL	ša	ša	1192
ša[that]REL	ša	ša₂	29
šabāšu[gather]V	lušabbiša	lu-ša₂-bi-ša₂	1
šaddaqda[last year]AV	šaddaqdiš	MU.IM.MA	7
šaddaqda[last year]AV	šaddaqdiš	šad-daq-diš	2
šaddaqda[last year]AV	šaddaqdiš	šad-daq₃-diš	2
šaddaqda[last year]AV	šaddaqdiš	ša₂-daq-di-iš	1
šaddaqda[last year]AV	šaddaqdiš	ša₂-daq₃-di-iš	1
šaddaqda[last year]AV	šaddaqdišma	šad-daq₃-diš-ma	1
šadû[east]N	šadî	{IM}KUR.RA	1
šadû[mountain]N	šadâni	KUR-MEŠ-ni	2
šadû[mountain]N	šadê	KUR	1
šadû[mountain]N	šadê	KUR-e	11
šadû[mountain]N	šadî	KUR-i	7
šadû[mountain]N	šadû	KUR-u	1
šadû[mountain]N	šadû	KUR-u₂	14
šadādu[drag]V	assadad	a-sa-da-ad	1
šadādu[drag]V	assadda	a-sa-da	1
šadādu[drag]V	ašaddāda	a-ša₂-da-da	2
šadādu[drag]V	issaddūni	i-sa-du-u₂-ni	1
šadādu[drag]V	išaddadūni	i-šad-da-du-u-ni	1
šadādu[drag]V	išaddadūni	i-ša₂-da-du-ni	1
šadādu[drag]V	išaddudu	i-ša₂-du-du	1
šadādu[drag]V	išdadūninni	iš-da-du-ni-ni	1
šadādu[drag]V	lildadūni	lil-da-du-ni	1
šadādu[drag]V	lišdadūni	liš-da-du-ni	1
šadādu[drag]V	lišdadūni	liš-da-du-u-ni	1
šadādu[drag]V	lišdudu	liš-du-du	1
šadādu[drag]V	lišdudūni	li-iš-du-du-u-ni	1
šadādu[drag]V	nišaddadūni	ni-šad-da-du-ni	1
šadādu[drag]V	nišaddāda	ni-šad-da-da	2
šadādu[drag]V	nišdudūni	ni-iš-du-du-ni	1
šadādu[drag]V	šudda	šud-da	1
šadādu[drag]V	šuddu	šu-du	2
šadālu[be(come) wide]V	lušandilu	lu-ša₂-an-di-lu	1
šahû[pig]N	šahîšu	ŠAH₂-MEŠ-šu₂	1
šahāhu[become loose]V	tašahhuhu	ta-ša₂-hu-hu	1
šahālu[sieve]V	issahluši	is-sa-ah-lu-ši	1
šahāṭu[tear away]V	išahhaṭ	i-ša₂-ha-aṭ	1
šahāṭu[tear away]V	išahhuṭu	i-ša₂-hu-ṭu	2
šahāṭu[tear away]V	tašahhaṭa	ta-ša₂-ha-ṭa	1
šahṭu[formed]AJ	šahṭatūni	šah-ṭa-tu-u-ni	1
šakkulu[wipe]V	lušakkilu	lu-šak-ki-lu	1
šaklu[withheld]AJ	šaklanāši	šak-la-na-ši	1
šaklu[withheld]AJ	šaklû	ša-ak-lu	1
šaknu[appointee]N	šakanšunu	{LU₂}ša₂-kan-šu₂-nu	1
šaknu[appointee]N	šakin	{LU₂}GAR.KUR	5
šaknu[appointee]N	šakni	{LU₂}GAR-ni	2
šaknu[appointee]N	šakni	{LU₂}šak-ni	2
šaknu[appointee]N	šaknu	{LU₂}GAR-nu	8
šaknu[appointee]N	šaknu	{LU₂}šak-nu	1
šaknu[appointee]N	šaknukunu	{LU₂}GAR-nu-ku-nu	1
šaknu[appointee]N	šaknušu	{LU₂}GAR-nu-šu₂	1
šaknu[appointee]N	šaknušunu	{LU₂}GAR-šu₂-nu	1
šaknu[appointee]N	šaknušunu	{LU₂}GAR.KUR-šu-nu	1
šaknu[appointee]N	šaknīšunu	{LU₂}šak-ni-šu₂-nu	2
šaknu[appointee]N	šaknūte	{LU₂}GAR-nu-ME-te	1
šaknu[appointee]N	šaknūte	{LU₂}GAR-nu-te	4
šaknu[appointee]N	šaknūti	GAR-nu-u-ti	1
šaknu[appointee]N	šaknūti	{LU₂}GAR-nu-MEŠ	4
šaknu[appointee]N	šaknūtišunu	{LU₂}GAR-nu-MEŠ-šu₂-nu	1
šaknu[appointee]N	šaknūtīya	{LU₂}GAR-nu-MEŠ-ia	2
šaknu[appointee]N	šaknūtīšu	{LU₂}šak-nu-MEŠ-šu₂	1
šaknu[appointee]N	šikin	{LU₂}ši-kin-ṭe₃-mi	1
šaknu[appointee]N	šikin	{LU₂}ši-kin₂-ṭe₃-me	1
šaknu[placed]AJ	šakanu	ša-ka-nu	2
šaknu[placed]AJ	šakin	GAR-in	1
šaknu[placed]AJ	šakin	ša₂-ki-in	2
šaknu[placed]AJ	šakin	ša₂-kin₂	1
šaknu[placed]AJ	šakna	šak-na	1
šaknu[placed]AJ	šaknat	šak-na-at	1
šaknu[placed]AJ	šaknu	šak-nu	1
šaknu[placed]AJ	šaknu	ša₂-ak-nu	2
šaknu[placed]AJ	šaknāku	ša₂-ak-na-ku	1
šaknu[placed]AJ	šaknākūni	ša₂-ak-na-ku-u-ni	2
šaknu[placed]AJ	šaknāni	šak-na-ni	1
šaknu[placed]AJ	šaknūni	šak-nu-u-ni	2
šaknu[placed]AJ	šaknūni	šak-nu-u₂-ni	1
šaknu[placed]AJ	šakīni	ša₂-ki-ni	5
šakālu[(meaning unknown)]V	liškul	li-iš-kul	1
šakānu[put]V	assakan	a-sa-ka-an	3
šakānu[put]V	assakan	a-sa-kan	12
šakānu[put]V	assakankunu	a-sa-kan-ku-nu	1
šakānu[put]V	assakanna	a-sa-kan-na	1
šakānu[put]V	assakanšu	a-sa-kan-šu	2
šakānu[put]V	assakanšu	a-sa-kan-šu₂	8
šakānu[put]V	assakanšunu	a-sa-ka-an-šu-nu	1
šakānu[put]V	assakanšunu	a-sa-kan-šu₂-nu	2
šakānu[put]V	ašakkan	a-šak-kan	3
šakānu[put]V	ašakkan	a-ša₂-kan	1
šakānu[put]V	ašakkanšu	a-šak-kan-šu₂	1
šakānu[put]V	aškunkāni	aš₂-kun-ka-a-ni	1
šakānu[put]V	aškunūkāni	aš₂-ku-nu-ka-ni	1
šakānu[put]V	aškunūni	aš₂-ku-nu-ni	1
šakānu[put]V	aškunūni	aš₂-kun-u-ni	1
šakānu[put]V	issakan	i-sa-kan	4
šakānu[put]V	issakan	is-sa-kan	4
šakānu[put]V	issakananni	i-sa-kan-a-ni	1
šakānu[put]V	issakanannāši	i-sa-kan-a-na-ši	1
šakānu[put]V	issakannāši	i-sa-kan-na-ši	1
šakānu[put]V	issakanu	i-sa-ka-nu	2
šakānu[put]V	issakanšu	i-sa-kan-šu	1
šakānu[put]V	issakna	i-sa-ak-na	1
šakānu[put]V	issaknanni	is-sak-na-ni	1
šakānu[put]V	issaknu	i-sa-ak-nu	6
šakānu[put]V	issaknu	i-sak-nu	3
šakānu[put]V	issaknu	is-sa-ak-nu	1
šakānu[put]V	issaknu	is-sak-nu	1
šakānu[put]V	issaknuš	is-sak-nu-uš	1
šakānu[put]V	issaknušu	i-sa-ak-nu-šu	1
