,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
85,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.23554153522607782,0.2302839116719243,0.005257623554153518,1.0228310502283104
86,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",10,161,0.24605678233438485,0.22187171398527866,0.024185068349106192,1.1090047393364928
87,dossier,paleo,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.24500525762355416,0.23554153522607782,0.009463722397476337,1.0401785714285714
88,dossier,paleo,"['BU:..', 'BU:.p.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.2502628811777077,0.22607781282860148,0.024185068349106192,1.1069767441860465
89,dossier,paleo,"['DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.24395373291272346,0.22818086225026288,0.01577287066246058,1.0691244239631337
90,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",10,161,0.24710830704521555,0.21871713985278654,0.028391167192429012,1.1298076923076923
91,dossier,paleo,"['LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.24395373291272346,0.2302839116719243,0.013669821240799157,1.0593607305936072
92,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",10,161,0.24605678233438485,0.22923238696109358,0.01682439537329128,1.073394495412844
93,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",10,161,0.24500525762355416,0.22712933753943218,0.017875920084121977,1.0787037037037037
94,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",12,161,0.2513144058885384,0.21556256572029442,0.035751840168243953,1.1658536585365853
95,dossier,paleo,"['RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",4,161,0.17350157728706625,0.15036803364879076,0.023133543638275494,1.1538461538461537
96,dossier,paleo,"['BU:..', 'BU:.p.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.22923238696109358,0.19348054679284962,0.035751840168243953,1.184782608695652
97,dossier,paleo,"['DI:..', 'DI:.d.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.23449001051524712,0.21240799158780233,0.022082018927444796,1.103960396039604
98,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.2576235541535226,0.2323869610935857,0.025236593059936918,1.1085972850678734
99,dossier,paleo,"['LI:..', 'LI:.d.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.22923238696109358,0.2103049421661409,0.018927444794952675,1.09
100,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.2502628811777077,0.2334384858044164,0.01682439537329128,1.072072072072072
101,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.24921135646687698,0.22923238696109358,0.0199789695057834,1.0871559633027523
102,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",10,161,0.24710830704521555,0.22607781282860148,0.02103049421661407,1.0930232558139534
103,dossier,paleo,"['NA:..', 'NA:.t.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.2586750788643533,0.231335436382755,0.027339642481598314,1.1181818181818182
104,dossier,paleo,"['BU:..', 'BU:.p.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.2576235541535226,0.22292323869610936,0.034700315457413256,1.1556603773584906
105,dossier,paleo,"['DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.2544689800210305,0.22818086225026288,0.026288117770767644,1.1152073732718895
106,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', 'RU:..', 'RU:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",10,161,0.25341745531019977,0.2302839116719243,0.023133543638275467,1.100456621004566
