,headword,xis_entry,instances_all
103,Arzizaya[Arzizean]EN,qpn.r00098,saao/sargonletters:P334205.26.1 ({LU₂}ar-zi-za-a.a)
104,Arzizi[1]GN,qpn.r00099,saao/sargonletters:P334205.14.5 ({URU}ar-zi-zi)
105,Arzuhina[1]GN,qpn.r0009a,"saao/sargonletters:P313486.12.2 ({URU}ar-zu-hi-na),saao/sargonletters:P313486.6.3 ({URU}ar-zu-hi-na),saao/sargonletters:P334279.33.2 ({URU}ar-zu-hi-na),saao/sargonletters:P334441.27.2 ({URU}ar-zu-hi-na),saao/sargonletters:P334208.5.3 ({URU}ar₂-zu-hi-na),saao/sargonletters:P313439.34.2 ({URU}ur-zu-hi-na),saao/sargonletters:P313632.17.2 ({URU}ur-zu-hi-na),saao/sargonletters:P313720.3.2 ({URU}ur-zu-hi-na),saao/sargonletters:P313748.12.3 ({URU}ur-zu-hi-na),saao/sargonletters:P313934.4.8 ({URU}ur-zu-hi-na),saao/sargonletters:P313937.4.3 ({URU}ur-zu-hi-na),saao/sargonletters:P314244.21.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334137.8.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334195.16.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334195.19.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334195.22.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334195.8.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334279.19.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334279.24.3 ({URU}ur-zu-hi-na),saao/sargonletters:P334279.36.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334279.61.3 ({URU}ur-zu-hi-na),saao/sargonletters:P334279.9.4 ({URU}ur-zu-hi-na),saao/sargonletters:P334361.32.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334361.9.2 ({URU}ur-zu-hi-na),saao/sargonletters:P334782.18.4 ({URU}ur-zu-hi-na)"
106,Arzuhinaya[1]EN,qpn.r0009f,"saao/sargonletters:X900015.37.2 ({URU}ar₂-zu-hi-na-a.a),saao/sargonletters:P334412.19.1 ({URU}ur-zu-hi-na-a.a)"
107,Asdudaya[Ashdodite]EN,qpn.r000a2,"saao/sargonletters:P334143.60.3 ({KUR}sa-du-da-a.a),saao/sargonletters:X900014.45.2 ({KUR}sa-du-da-a.a)"
108,Asrukanu[1]PN,qpn.r000a3,"saao/sargonletters:P334917.27.2 ({1}as-ru-ka-a-ni),saao/sargonletters:P334077.23.6 ({1}as-ru-ka-ni),saao/sargonletters:P334697.4.3 ({1}as-ru-ka-nu)"
109,Ata[1]PN,qpn.r000a8,saao/sargonletters:P334163.33.3 ({1}a-ta-a)
110,Atanha-Šamaš[1]PN,qpn.r000a9,"saao/sargonletters:P313474.3.2 ({1}a-tan-ha-{d}UTU),saao/sargonletters:P314049.3.2 ({1}a-tan-ha-{d}UTU)"
111,Atta-idri[1]PN,qpn.r000aa,saao/sargonletters:P313822.10.1 ({1}a-ta-a-id-ri)
112,Attar-ham[1]PN,qpn.r000ab,"saao/sargonletters:P313474.29.2 ({1}a-tar-ha-am),saao/sargonletters:P313474.5.1 ({1}a-tar-ha-am)"
113,Atunnaya[1]EN,qpn.r000ac,"saao/sargonletters:P334443.13.2 ({KUR}at-tu-na-a.a),saao/sargonletters:P224485.45.8 ({URU}a-tu₂-na-a.a)"
114,Aya-barakka[1]PN,qpn.r000af,saao/sargonletters:P334835.5.5 ({1}a.a-BARAG)
115,Aya-hari[1]PN,qpn.r000b0,saao/sargonletters:P313702.17.2 ({1}ia-ha-ri)
116,Ayaru[Iyyar]MN,qpn.r000b1,"saao/sargonletters:P313509.7.4 ({ITI}GUD),saao/sargonletters:P334167.14.5 ({ITI}GUD),saao/sargonletters:P334167.9.5 ({ITI}GUD),saao/sargonletters:P334213.15.7 ({ITI}GUD)"
117,Aza[1]PN,qpn.r000b2,saao/sargonletters:P314294.7.1 ({1}a-za-a)
118,Azari[1]GN,qpn.r000b3,saao/sargonletters:P334439.25.3 ({URU}a-za-ri)
119,Ašapi[1]PN,qpn.r000b4,saao/sargonletters:P334284.37.4 ({1}a-ša₂-pi)
