,headword,xis_entry,instances_all
2112,šarrūtu[kingship]N,akk.r02619,"saao/sargonletters:P313543.15.4 (ERIM-MEŠ-LUGAL-u-ti),saao/sargonletters:P334187.19.6 (ERIM-MEŠ-MAN-te),saao/sargonletters:P334177.25.1 (LUGAL-ti),saao/sargonletters:P334447.26.5 (LUGAL-u-te),saao/sargonletters:P334447.28.1 (LUGAL-u₂-tu₂),saao/sargonletters:P313686.3.4 (šar-ru-tu₂)"
2113,šarāmu[trim]V,akk.r02623,"saao/sargonletters:P334322.23.3 (nu-šar-ri-mu-u-ni),saao/sargonletters:P334322.35.2 (u₂-sa-ri-mi₃-ma),saao/sargonletters:P334322.17.4 (u₂-šar-ri-mu-u-ni)"
2114,šarāṣu[(meaning unknown)]V,akk.r02627,saao/sargonletters:P334555.10.1 (i-sa-ra-aṣ)
2115,šaršaruttu[position of king of kings]N,akk.r02628,saao/sargonletters:P334104.42.1 (šar-ša-ru-ut-tu)
2116,šasummu[(meaning unknown)]N,akk.r02629,saao/sargonletters:P334351.12.2 (ša₂-su-ma-te)
2117,šasû[shout]V,akk.r0262a,saao/sargonletters:P334705.21.1 (i-si-si-i-u)
2118,šatammu[administrator]N,akk.r0262b,"saao/sargonletters:P313483.11.3 ({LU₂}ŠA₃.TAM),saao/sargonletters:P314292.5.2 ({LU₂}ŠA₃.TAM)"
2119,šatammūtu[post of šatammu]N,akk.r0262c,saao/sargonletters:P313802.4.4 ({LU₂}ŠA₃.TAM-u₂-tu)
2120,šattu[year]N,akk.r0262d,"saao/sargonletters:P313480.16.3 (MU.AN.NA),saao/sargonletters:P313552.26.3 (MU.AN.NA),saao/sargonletters:P313866.8.4 (MU.AN.NA),saao/sargonletters:P314282.22.6 (MU.AN.NA),saao/sargonletters:P314336.8.1 (MU.AN.NA),saao/sargonletters:P334040.30.3 (MU.AN.NA),saao/sargonletters:P334099.10.3 (MU.AN.NA),saao/sargonletters:P334100.35.2 (MU.AN.NA),saao/sargonletters:P334314.18.3 (MU.AN.NA),saao/sargonletters:P334705.24.3 (MU.AN.NA),saao/sargonletters:P334910.15.2 (MU.AN.NA),saao/sargonletters:P313458.5.5 (MU.AN.NA-MEŠ),saao/sargonletters:P313829.10.3 (MU.AN.NA-MEŠ),saao/sargonletters:P334170.17.3 (MU.AN.NA-MEŠ),saao/sargonletters:P313659.10.4 (šat-ti),saao/sargonletters:P334328.22.3 (šat-tu₂),saao/sargonletters:P334372.10.4 (šat-tu₂)"
2121,šatû[drink]V,akk.r02638,"saao/sargonletters:P313714.9.2 (i-ša₂-ti-u),saao/sargonletters:P314232.15.5 (is-si-ti),saao/sargonletters:P334195.37.2 (li-is-si-a),saao/sargonletters:P313553.23.4 (li-is-si-u),saao/sargonletters:P313856.9.4 (li-si-u),saao/sargonletters:P224485.43.2 (ši-ti)"
2122,šawiru[ring]N,akk.r02640,"saao/sargonletters:P334143.59.2 (HAR),saao/sargonletters:P334077.27.2 (HAR-MEŠ),saao/sargonletters:P334917.28.3 (HAR-MEŠ)"
2123,šazbussu[consignment]N,akk.r02643,"saao/sargonletters:P313699.12.2 (ša-za-bu-sa-te),saao/sargonletters:P334724.5.5 (ša-za-bu-sa-te),saao/sargonletters:P313699.13.2 (ša-za-bu-su),saao/sargonletters:P334113.29.2 (ša₂-az-bu-su)"
2124,šaššūgu[(a tree)]N,akk.r02647,saao/sargonletters:P334388.18.2 ({GIŠ}ša₂-aš₂-šu-gi)
2125,šaʾʾurtu[dirt]N,akk.r02648,saao/sargonletters:P313871.12.1 (ša₂-ʾu-ur-tu₂)
2126,šaṣbutu[supplies]N,akk.r02649,"saao/sargonletters:P334381.45.7 (ša-aṣ-bu-tu₂),saao/sargonletters:X900015.36.3 (ša-aṣ-bu-tu₂)"
2127,šaṭru[written]AJ,akk.r0264a,"saao/sargonletters:P313417.25.1 (ša-ṭi-ru-ni),saao/sargonletters:P313648.12.8 (šaṭ-ru),saao/sargonletters:P314070.5.4 (ša₂-ṭi-ir),saao/sargonletters:P334050.7.5 (ša₂-ṭi-ir),saao/sargonletters:P334335.7.5 (ša₂-ṭi-ir)"
2128,šaṭāru[write]V,akk.r0264e,"saao/sargonletters:P334621.9.3 (a-sa-ṭa-ra),saao/sargonletters:P313417.29.1 (a-sa-ṭar),saao/sargonletters:P313435.19.2 (a-sa-ṭar),saao/sargonletters:P313473.16.1 (a-sa-ṭar),saao/sargonletters:P313939.6.1 (a-sa-ṭar),saao/sargonletters:P314298.12.2 (a-sa-ṭar),saao/sargonletters:P334041.13.1 (a-sa-ṭar),saao/sargonletters:P334048.33.4 (a-sa-ṭar),saao/sargonletters:P334155.8.3 (a-sa-ṭar),saao/sargonletters:P334322.21.1 (a-sa-ṭar),saao/sargonletters:P334367.14.2 (a-sa-ṭar),saao/sargonletters:P334782.25.3 (a-sa-ṭar),saao/sargonletters:P334837.6.6 (a-sa-ṭar),saao/sargonletters:P334069.13.2 (aš₂-ṭa-ru-u-ni),saao/sargonletters:P334187.24.1 (i-sa-ṭa-ru),saao/sargonletters:P313462.52.4 (i-sa-ṭar),saao/sargonletters:P334047.28.2 (i-sa-ṭar),saao/sargonletters:P334705.15.1 (i-sa-ṭar),saao/sargonletters:P314343.15.1 (i-sa-ṭar-u₂-šu₂-nu),saao/sargonletters:P334830.12.1 (i-ša-ṭu-ru),saao/sargonletters:P313939.7.1 (la-aš₂-ṭur),saao/sargonletters:P334103.27.1 (liš-ṭu-ru),saao/sargonletters:P334103.29.1 (liš-ṭu-ru),saao/sargonletters:X900008.15.3 (liš-ṭu-ru),saao/sargonletters:P313643.6.8 (liš-ṭur),saao/sargonletters:P334115.8.4 (liš-ṭur),saao/sargonletters:P313462.34.1 (ni-sa-ṭar),saao/sargonletters:P313876.6.4 (ta-sa-ṭar),saao/sargonletters:P313543.19.2 (ta-šaṭ-ṭar),saao/sargonletters:P334302.16.2 (šaṭ-ṭa-ru),saao/sargonletters:P334302.30.1 (šaṭ-ṭa-ru),saao/sargonletters:P334302.23.3 (šu-ṭu-ru),saao/sargonletters:P313417.7.2 (šu-ṭur),saao/sargonletters:P313543.21.2 (šu-ṭur),saao/sargonletters:P313543.7.1 (šu-ṭur),saao/sargonletters:P314298.11.3 (šu-ṭur),saao/sargonletters:P334099.7.3 (šu-ṭur),saao/sargonletters:P334586.15.1 (šu-ṭur),saao/sargonletters:P334621.7.3 (šu-ṭur-ra)"
2129,šeleppāyu[(a type of craftsman)]N,akk.r02661,saao/sargonletters:P313923.17.2 ({LU₂}še-lap-pa-a.a)
2130,šemû[hear]V,akk.r02662,"saao/sargonletters:P313575.45.4 (a-se-e-me),saao/sargonletters:P313773.13.7 (a-se-em),saao/sargonletters:P224485.59.8 (a-se-me),saao/sargonletters:P313420.28.1 (a-se-me),saao/sargonletters:P313420.31.4 (a-se-me),saao/sargonletters:P313474.38.3 (a-se-me),saao/sargonletters:P313537.3.3 (a-se-me),saao/sargonletters:P313587.8.6 (a-se-me),saao/sargonletters:P313814.32.3 (a-se-me),saao/sargonletters:P313814.45.8 (a-se-me),saao/sargonletters:P334143.21.3 (a-se-me),saao/sargonletters:P334143.37.3 (a-se-me),saao/sargonletters:P334143.40.6 (a-se-me),saao/sargonletters:P334143.45.3 (a-se-me),saao/sargonletters:P334157.21.3 (a-se-me),saao/sargonletters:P334256.20.1 (a-se-me),saao/sargonletters:P334305.28.1 (a-se-me),saao/sargonletters:P334381.25.1 (a-se-me),saao/sargonletters:P334703.34.1 (a-se-me),saao/sargonletters:P336169.19.1 (a-se-me),saao/sargonletters:X900005.12.1 (a-se-me),saao/sargonletters:X900012.6.7 (a-se-me),saao/sargonletters:P314023.11.1 (a-šam-me),saao/sargonletters:P334205.10.4 (a-šam-mu-ni),saao/sargonletters:P334316.9.6 (a-šam-mu-ni),saao/sargonletters:P334316.25.2 (a-šam-mu-u-ni),saao/sargonletters:P336170.28.9 (a-ša₂-me),saao/sargonletters:P334143.36.3 (aš₂-am-me),saao/sargonletters:P313422.7.4 (aš₂-me),saao/sargonletters:P313529.10.3 (aš₂-me),saao/sargonletters:P313860.4.4 (aš₂-me),saao/sargonletters:P313860.5.3 (aš₂-me),saao/sargonletters:P334339.19.3 (aš₂-me),saao/sargonletters:P334772.20.2 (aš₂-me),saao/sargonletters:P313571.31.6 (aš₂-mu-ni),saao/sargonletters:P334050.32.2 (aš₂-mu-ni),saao/sargonletters:P334157.7.5 (aš₂-mu-u-ni),saao/sargonletters:P334345.22.4 (aš₂-mu-u-ni),saao/sargonletters:P334835.15.5 (aš₂-mu-u-ni),saao/sargonletters:P334069.40.1 (i-sa-na-me),saao/sargonletters:P313983.8.1 (i-sa-ʾu-šu₂),saao/sargonletters:P313646.4.2 (i-se-me),saao/sargonletters:P334080.34.3 (i-se-me),saao/sargonletters:P334104.13.1 (i-se-me),saao/sargonletters:P334446.26.3 (i-se-me),saao/sargonletters:P314249.9.2 (i-ša-ma-a-ni),saao/sargonletters:P334136.29.3 (i-šam-me),saao/sargonletters:P334703.16.5 (i-šam-me),saao/sargonletters:P334073.17.2 (i-šam-u-ni),saao/sargonletters:P334073.23.3 (i-šam-u-ni),saao/sargonletters:P313912.14.1 (i-ša₂-am-me),saao/sargonletters:P334152.20.4 (i-ša₂-am-me),saao/sargonletters:P334139.12.3 (i-ša₂-man-ni),saao/sargonletters:P313652.9.3 (i-ša₂-me-u),saao/sargonletters:P334372.30.2 (i-ša₂-me-u),saao/sargonletters:X900008.10.4 (i-ša₂-mi),saao/sargonletters:P334422.22.2 (i-ša₂-mi-u₂),saao/sargonletters:P334633.13.1 (i-ša₂-mu-na-ši),saao/sargonletters:P334050.35.1 (i-ša₂-mu-ni),saao/sargonletters:P313511.28.2 (i-ša₂-mu-u-ni),saao/sargonletters:P334139.38.2 (i-ša₂-mu-u-ni),saao/sargonletters:P313796.22.4 (is-se-me),saao/sargonletters:P334773.8.3 (is-se-me),saao/sargonletters:P334820.16.2 (is-se-me),saao/sargonletters:P334820.31.3 (is-se-me),saao/sargonletters:P334820.9.2 (is-se-me),saao/sargonletters:P313452.42.3 (iš-me),saao/sargonletters:P334318.21.2 (iš-me),saao/sargonletters:P334498.41.9 (iš-me),saao/sargonletters:P334422.10.3 (iš-me-u₂),saao/sargonletters:P334422.27.5 (iš-mu-ni),saao/sargonletters:P313644.36.5 (iš-mu-u₂-ni),saao/sargonletters:P313627.13.3 (iš-ša₂-me),saao/sargonletters:P313647.12.4 (iš-ši-mu-u-ni),saao/sargonletters:P334316.10.4 (la-aš₂-me),saao/sargonletters:P334322.42.3 (la-aš₂-me),saao/sargonletters:P334111.27.1 (liš-me),saao/sargonletters:P313483.22.3 (liš-mi),saao/sargonletters:P334621.25.1 (lu-ša₂-aš₂-me),saao/sargonletters:P334149.21.2 (ni-iš-me),saao/sargonletters:P334165.14.2 (ni-iš-me),saao/sargonletters:P334166.17.2 (ni-iš-me),saao/sargonletters:P334279.49.3 (ni-iš-me),saao/sargonletters:P334071.22.1 (ni-sa-nam-me),saao/sargonletters:P334145.18.2 (ni-šam-me),saao/sargonletters:P334565.14.1 (ni-šam-mu-u-ni),saao/sargonletters:P334284.39.4 (ni-ša₂-me),saao/sargonletters:P334369.11.1 (nu-sa-ša₂-me-šu₂-nu),saao/sargonletters:P313907.5.3 (ta-šam-a-ni-šu₂),saao/sargonletters:P334077.36.4 (ta-šam-ma-ni),saao/sargonletters:P334316.8.3 (ta-šam-man-ni),saao/sargonletters:P334139.35.3 (ta-ša₂-me-a),saao/sargonletters:P334136.30.3 (taš-me),saao/sargonletters:P334894.7.3 (taš-me),saao/sargonletters:P313422.21.1 (taš-mu-u-ni),saao/sargonletters:P334157.6.3 (taš-mu-u-ni),saao/sargonletters:P334820.43.3 (taš-mu-u-ni),saao/sargonletters:P334555.34.2 (u₂-ša-aš₂-ma),saao/sargonletters:P334830.12.6 (u₂-ša-aš₂-mu-u),saao/sargonletters:P313624.4.1 (u₂-ša₂-aš₂-ma),saao/sargonletters:P334187.29.1 (u₂-ša₂-aš₂-mu-u-ni),saao/sargonletters:P334187.39.4 (u₂-ša₂-aš₂-mu-u-ni),saao/sargonletters:P334586.15.6 (ša₂-aš₂-me),saao/sargonletters:P334688.13.1 (ša₂-aš₂-me),saao/sargonletters:P334820.40.4 (ša₂-aš₂-me),saao/sargonletters:P224485.16.5 (ši-mi)"
2131,šeršerratu[chain]N,akk.r026b4,saao/sargonletters:P313852.22.1 (BAN₃.DA)
2132,šeʾu[barley]N,akk.r026b5,"saao/sargonletters:P313738.14.1 (ŠE),saao/sargonletters:P334536.9.2 (ŠE)"
2133,šiddi-nārāya[riverside people]N,akk.r026b6,saao/sargonletters:P334100.38.2 (ši-di-ID₂-a.a)
2134,šiddu[length]N,akk.r026b7,"saao/sargonletters:P313417.11.2 (UŠ),saao/sargonletters:P334447.26.2 (UŠ),saao/sargonletters:P334588.5.2 (UŠ),saao/sargonletters:P336768.17.3 (UŠ),saao/sargonletters:P334405.16.4 (ši-du),saao/sargonletters:P336773.3.1 (ši-id-di),saao/sargonletters:P313510.49.7 (šid-di),saao/sargonletters:P313756.10.7 (šid-di),saao/sargonletters:P334044.14.4 (šid-di),saao/sargonletters:P334257.7.3 (šid-di),saao/sargonletters:P334483.14.3 (šid-di),saao/sargonletters:P334498.21.4 (šid-di),saao/sargonletters:P334607.40.2 (šid-di),saao/sargonletters:P314051.8.2 (šid-di-im-ma)"
2135,šihlu[second-rate]AJ,akk.r026c3,"saao/sargonletters:P334100.33.3 ({LU₂}ši-ih-lu),saao/sargonletters:P313492.49.1 (ši-hi-lu),saao/sargonletters:P334322.22.2 (ši-ih-li),saao/sargonletters:P334688.20.5 (ši-ih-li)"
2136,šikaru[beer]N,akk.r026cb,"saao/sargonletters:P334113.41.6 (KAŠ-MEŠ),saao/sargonletters:P334113.42.6 (KAŠ-MEŠ),saao/sargonletters:P334113.43.5 (KAŠ-MEŠ)"
2137,šiknu[setting]N,akk.r01c75,saao/sargonletters:P313648.7.5 ({LU₂}GAL-šik-na-ni)
2138,šiltāhu[arrow]N,akk.r026cc,saao/sargonletters:P334606.16.1 ({GI}GAG.UD.TAG.GA-MEŠ)
2139,šina[they (f.)]IP,akk.r026cd,"saao/sargonletters:P336636.6.3 (ši-i-na),saao/sargonletters:P313445.4.6 (ši-na),saao/sargonletters:P313447.9.3 (ši-na),saao/sargonletters:P334135.15.1 (ši-na),saao/sargonletters:P334135.7.2 (ši-na),saao/sargonletters:P334213.11.4 (ši-na),saao/sargonletters:P334322.30.3 (ši-na),saao/sargonletters:P334322.34.4 (ši-na),saao/sargonletters:P334483.22.2 (ši-na),saao/sargonletters:P334693.17.2 (ši-na),saao/sargonletters:P334693.17.1 (ši-na-a-ma)"
2140,šina[two]NU,akk.r026d2,"saao/sargonletters:P334483.22.1 (02-ta),saao/sargonletters:P334609.14.2 (02-ta)"
2141,šinnu[tooth]N,akk.r01a85,"saao/sargonletters:P334390.29.8 (ZU₂-AM.SI),saao/sargonletters:P334390.9.8 (ZU₂-AM.SI)"
2142,šinīšu[twice]AV,akk.r026d3,"saao/sargonletters:P334305.26.3 (02-šu),saao/sargonletters:P313483.12.3 (02-šu₂),saao/sargonletters:P313506.16.6 (02-šu₂),saao/sargonletters:P313507.7.4 (02-šu₂),saao/sargonletters:P313648.12.4 (02-šu₂),saao/sargonletters:P314097.9.2 (02-šu₂),saao/sargonletters:P314249.5.1 (02-šu₂),saao/sargonletters:P334163.42.3 (02-šu₂),saao/sargonletters:P334308.27.2 (02-šu₂),saao/sargonletters:P334317.8.8 (02-šu₂),saao/sargonletters:P334322.40.4 (02-šu₂),saao/sargonletters:P334849.31.1 (02-šu₂)"
2143,šipirtu[message]N,akk.r026d6,"saao/sargonletters:P334168.19.1 ({LU₂}kal-la-pu-ši-bir-te),saao/sargonletters:P334661.9.2 ({LU₂}kal-lap-ši-bir-te),saao/sargonletters:P334209.16.1 ({LU₂}kal-lap-ši-bir-tu₂),saao/sargonletters:P313898.14.1 ({LU₂}kal-lap-ši-pir-te),saao/sargonletters:P313898.17.1 ({LU₂}kal-lap-ši-pir-tu₂),saao/sargonletters:P313450.4.2 (ši-bir-te),saao/sargonletters:P313788.8.3 (ši-pir-te),saao/sargonletters:P334193.24.1 (ši-pir-ti),saao/sargonletters:P334839.10.2 (ši-pir-tu)"
2144,šipru[sending]N,akk.r026de,"saao/sargonletters:P334534.21.2 (KIN-i),saao/sargonletters:P313434.5.1 ({LU₂}A-KIN),saao/sargonletters:P313439.39.2 ({LU₂}A-KIN),saao/sargonletters:P313452.43.2 ({LU₂}A-KIN),saao/sargonletters:P313452.44.2 ({LU₂}A-KIN),saao/sargonletters:P313452.46.2 ({LU₂}A-KIN),saao/sargonletters:P313471.23.3 ({LU₂}A-KIN),saao/sargonletters:P313483.10.2 ({LU₂}A-KIN),saao/sargonletters:P313497.5.1 ({LU₂}A-KIN),saao/sargonletters:P313513.10.4 ({LU₂}A-KIN),saao/sargonletters:P313587.24.2 ({LU₂}A-KIN),saao/sargonletters:P313587.28.3 ({LU₂}A-KIN),saao/sargonletters:P313601.16.3 ({LU₂}A-KIN),saao/sargonletters:P313614.25.1 ({LU₂}A-KIN),saao/sargonletters:P313646.24.2 ({LU₂}A-KIN),saao/sargonletters:P313680.12.2 ({LU₂}A-KIN),saao/sargonletters:P313680.8.2 ({LU₂}A-KIN),saao/sargonletters:P313700.16.1 ({LU₂}A-KIN),saao/sargonletters:P313766.6.1 ({LU₂}A-KIN),saao/sargonletters:P313820.4.2 ({LU₂}A-KIN),saao/sargonletters:P313855.10.2 ({LU₂}A-KIN),saao/sargonletters:P313958.6.2 ({LU₂}A-KIN),saao/sargonletters:P314053.5.1 ({LU₂}A-KIN),saao/sargonletters:P314070.7.2 ({LU₂}A-KIN),saao/sargonletters:P314246.13.7 ({LU₂}A-KIN),saao/sargonletters:P314274.15.5 ({LU₂}A-KIN),saao/sargonletters:P314281.25.5 ({LU₂}A-KIN),saao/sargonletters:P314293.8.8 ({LU₂}A-KIN),saao/sargonletters:P314298.4.3 ({LU₂}A-KIN),saao/sargonletters:P334039.20.1 ({LU₂}A-KIN),saao/sargonletters:P334039.24.1 ({LU₂}A-KIN),saao/sargonletters:P334050.32.3 ({LU₂}A-KIN),saao/sargonletters:P334050.8.2 ({LU₂}A-KIN),saao/sargonletters:P334090.31.1 ({LU₂}A-KIN),saao/sargonletters:P334091.5.1 ({LU₂}A-KIN),saao/sargonletters:P334111.5.1 ({LU₂}A-KIN),saao/sargonletters:P334118.8.2 ({LU₂}A-KIN),saao/sargonletters:P334143.11.1 ({LU₂}A-KIN),saao/sargonletters:P334199.26.5 ({LU₂}A-KIN),saao/sargonletters:P334291.16.2 ({LU₂}A-KIN),saao/sargonletters:P334291.21.3 ({LU₂}A-KIN),saao/sargonletters:P334298.39.3 ({LU₂}A-KIN),saao/sargonletters:P334360.9.2 ({LU₂}A-KIN),saao/sargonletters:P334483.20.1 ({LU₂}A-KIN),saao/sargonletters:P334483.31.1 ({LU₂}A-KIN),saao/sargonletters:P334633.20.1 ({LU₂}A-KIN),saao/sargonletters:P334687.16.3 ({LU₂}A-KIN),saao/sargonletters:P334695.42.6 ({LU₂}A-KIN),saao/sargonletters:P334704.5.1 ({LU₂}A-KIN),saao/sargonletters:P334916.14.3 ({LU₂}A-KIN),saao/sargonletters:P337151.15.2 ({LU₂}A-KIN),saao/sargonletters:P314286.22.1 ({LU₂}A-KIN-MEŠ),saao/sargonletters:P314286.26.1 ({LU₂}A-KIN-MEŠ),saao/sargonletters:P334092.35.1 ({LU₂}A-KIN-MEŠ),saao/sargonletters:P334916.6.4 ({LU₂}A-KIN-MEŠ),saao/sargonletters:P334917.19.4 ({LU₂}A-KIN-MEŠ),saao/sargonletters:P334077.25.7 ({LU₂}A-KIN-MEŠ-ni-šu₂-nu),saao/sargonletters:P334205.35.2 ({LU₂}A-KIN-MEŠ-šu₂),saao/sargonletters:P334692.23.1 ({LU₂}A-KIN-MEŠ-šu₂),saao/sargonletters:P334692.27.1 ({LU₂}A-KIN-MEŠ-šu₂),saao/sargonletters:P313483.29.3 ({LU₂}A-KIN-e-a),saao/sargonletters:P313504.12.4 ({LU₂}A-KIN-e-a),saao/sargonletters:P313747.22.1 ({LU₂}A-KIN-e-a),saao/sargonletters:P313756.27.3 ({LU₂}A-KIN-e-a),saao/sargonletters:P314302.6.1 ({LU₂}A-KIN-e-a),saao/sargonletters:P334103.9.3 ({LU₂}A-KIN-e-a),saao/sargonletters:P334108.9.1 ({LU₂}A-KIN-e-a),saao/sargonletters:P334483.19.1 ({LU₂}A-KIN-e-a),saao/sargonletters:P334695.10.4 ({LU₂}A-KIN-e-a),saao/sargonletters:P334837.25.1 ({LU₂}A-KIN-e-a),saao/sargonletters:P334115.12.1 ({LU₂}A-KIN-e-šu₂),saao/sargonletters:P334837.12.5 ({LU₂}A-KIN-e-šu₂),saao/sargonletters:P334916.14.5 ({LU₂}A-KIN-e-šu₂),saao/sargonletters:P313452.4.1 ({LU₂}A-KIN-ia),saao/sargonletters:P313452.45.1 ({LU₂}A-KIN-ia),saao/sargonletters:P313687.9.5 ({LU₂}A-KIN-ia),saao/sargonletters:P313814.5.2 ({LU₂}A-KIN-ia),saao/sargonletters:P313814.54.3 ({LU₂}A-KIN-ia),saao/sargonletters:P313814.62.1 ({LU₂}A-KIN-ia),saao/sargonletters:P313820.8.1 ({LU₂}A-KIN-ia),saao/sargonletters:P313876.8.1 ({LU₂}A-KIN-ia),saao/sargonletters:P313911.11.2 ({LU₂}A-KIN-ia),saao/sargonletters:P314019.4.2 ({LU₂}A-KIN-ia),saao/sargonletters:P314143.6.2 ({LU₂}A-KIN-ia),saao/sargonletters:P314292.16.4 ({LU₂}A-KIN-ia),saao/sargonletters:P314327.28.3 ({LU₂}A-KIN-ia),saao/sargonletters:P334047.13.4 ({LU₂}A-KIN-ia),saao/sargonletters:P334047.23.1 ({LU₂}A-KIN-ia),saao/sargonletters:P334104.36.5 ({LU₂}A-KIN-ia),saao/sargonletters:P334138.12.3 ({LU₂}A-KIN-ia),saao/sargonletters:P334202.11.2 ({LU₂}A-KIN-ia),saao/sargonletters:P334373.8.1 ({LU₂}A-KIN-ia),saao/sargonletters:P334415.19.3 ({LU₂}A-KIN-ia),saao/sargonletters:P334612.6.2 ({LU₂}A-KIN-ia),saao/sargonletters:P334629.7.3 ({LU₂}A-KIN-ia),saao/sargonletters:P334779.9.3 ({LU₂}A-KIN-ia),saao/sargonletters:P334905.11.3 ({LU₂}A-KIN-ia),saao/sargonletters:P337151.7.1 ({LU₂}A-KIN-ia),saao/sargonletters:P313547.17.4 ({LU₂}A-KIN-ia₂),saao/sargonletters:P313547.19.2 ({LU₂}A-KIN-ia₂),saao/sargonletters:P334093.13.1 ({LU₂}A-KIN-ia₂),saao/sargonletters:P224485.69.1 ({LU₂}A-KIN-ka),saao/sargonletters:P313452.11.2 ({LU₂}A-KIN-ka),saao/sargonletters:P313630.8.2 ({LU₂}A-KIN-ka),saao/sargonletters:P334047.8.2 ({LU₂}A-KIN-ka),saao/sargonletters:P334150.13.4 ({LU₂}A-KIN-ka),saao/sargonletters:P334152.10.2 ({LU₂}A-KIN-ka),saao/sargonletters:P313491.34.3 ({LU₂}A-KIN-šu₂),saao/sargonletters:P313539.7.7 ({LU₂}A-KIN-šu₂),saao/sargonletters:P313814.8.2 ({LU₂}A-KIN-šu₂),saao/sargonletters:P314043.8.4 ({LU₂}A-KIN-šu₂),saao/sargonletters:P334779.9.1 ({LU₂}A-KIN-šu₂),saao/sargonletters:P334849.29.3 ({LU₂}A-KIN-šu₂),saao/sargonletters:P314061.4.6 ({LU₂}A-KIN-šu₂-nu),saao/sargonletters:P334104.21.2 ({LU₂}A-KIN-šu₂-nu),saao/sargonletters:P224485.27.4 ({LU₂}A-šip-ri),saao/sargonletters:P224485.28.2 ({LU₂}A-šip-ri),saao/sargonletters:P224485.4.4 ({LU₂}A-šip-ri),saao/sargonletters:P313529.15.1 ({LU₂}A-šip-ri),saao/sargonletters:P313529.17.1 ({LU₂}A-šip-ri),saao/sargonletters:P313721.17.5 ({LU₂}A-šip-ri),saao/sargonletters:P314283.5.1 ({LU₂}A-šip-ri),saao/sargonletters:P314327.25.3 ({LU₂}A-šip-ri),saao/sargonletters:P334069.26.2 ({LU₂}A-šip-ri),saao/sargonletters:P334142.52.1 ({LU₂}A-šip-ri),saao/sargonletters:P334143.56.1 ({LU₂}A-šip-ri),saao/sargonletters:P334328.24.5 ({LU₂}A-šip-ri),saao/sargonletters:P334498.35.4 ({LU₂}A-šip-ri),saao/sargonletters:P334667.8.1 ({LU₂}A-šip-ri),saao/sargonletters:P334904.13.1 ({LU₂}A-šip-ri),saao/sargonletters:P334904.7.2 ({LU₂}A-šip-ri),saao/sargonletters:P334223.21.1 ({LU₂}A-šip-ri-MEŠ),saao/sargonletters:P334894.12.1 ({LU₂}A-šip-ri-MEŠ),saao/sargonletters:P224485.12.5 ({LU₂}A-šip-ri-ia),saao/sargonletters:P313575.10.7 ({LU₂}A-šip-ri-ia),saao/sargonletters:P313575.16.2 ({LU₂}A-šip-ri-ia),saao/sargonletters:P313575.9.8 ({LU₂}A-šip-ri-ia),saao/sargonletters:P313833.10.7 ({LU₂}A-šip-ri-ia),saao/sargonletters:P334186.15.1 ({LU₂}A-šip-ri-ia),saao/sargonletters:P334328.28.1 ({LU₂}A-šip-ri-ia),saao/sargonletters:P334661.20.3 ({LU₂}A-šip-ri-ia),saao/sargonletters:P334708.23.1 ({LU₂}A-šip-ri-ia),saao/sargonletters:P334904.19.3 ({LU₂}A-šip-ri-ia₂),saao/sargonletters:P224485.14.2 ({LU₂}A-šip-ri-ka),saao/sargonletters:P314087.5.3 ({LU₂}A-šip-ri-šu₂),saao/sargonletters:X900007.10.3 ({LU₂}DUMU-KIN-ia),saao/sargonletters:P313472.16.5 ({LU₂}DUMU-šip-ra-a-ni),saao/sargonletters:P334149.6.1 ({LU₂}DUMU-šip-ra-ni),saao/sargonletters:P334071.10.1 ({LU₂}DUMU-šip-ra-ni-ia),saao/sargonletters:P313472.40.1 ({LU₂}DUMU-šip-ri),saao/sargonletters:P313472.45.1 ({LU₂}DUMU-šip-ri),saao/sargonletters:P313472.49.1 ({LU₂}DUMU-šip-ri),saao/sargonletters:P313511.19.3 ({LU₂}DUMU-šip-ri),saao/sargonletters:P314054.7.1 ({LU₂}DUMU-šip-ri),saao/sargonletters:P334060.15.1 ({LU₂}DUMU-šip-ri),saao/sargonletters:P334168.11.1 ({LU₂}DUMU-šip-ri),saao/sargonletters:P334202.16.3 ({LU₂}DUMU-šip-ri),saao/sargonletters:P334305.18.1 ({LU₂}DUMU-šip-ri),saao/sargonletters:P334631.9.1 ({LU₂}DUMU-šip-ri),saao/sargonletters:P313510.47.2 ({LU₂}DUMU-šip-ri-ia),saao/sargonletters:P334318.4.1 ({LU₂}DUMU-šip-ri-ia),saao/sargonletters:P334318.5.1 ({LU₂}DUMU-šip-ri-ia),saao/sargonletters:P334793.11.1 ({LU₂}DUMU-šip-ri-ia),saao/sargonletters:P334825.51.4 ({LU₂}DUMU-šip-ri-ia),saao/sargonletters:P313510.43.2 ({LU₂}DUMU-šip-ri-šu),saao/sargonletters:P313472.50.5 ({LU₂}DUMU-šip-ri-šu₂),saao/sargonletters:P334355.6.1 ({LU₂}KIN.A),saao/sargonletters:P334355.7.1 ({LU₂}KIN.A),saao/sargonletters:P334355.13.3 ({LU₂}KIN.A-MEŠ),saao/sargonletters:P334158.18.1 (ši-pir)"
