dossier_nocertain,atā[why?]QP:atâ:a-ta-a,kī[like]PRP:kî:ki,kī[like]PRP:kî:ki-i,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,mīnu[what?]QP:mīni:mi-i-ni,mīnu[what?]QP:mīni:mi-ni,mīnu[what?]QP:mīnu:mi-i-nu,mīnu[what?]QP:mīnu:mi-nu,mīnu[what?]QP:mīnu:mi₃-i-nu,mīnu[what?]QP:mīnu:mi₃-nu,šū[he]IP:šû:šu-u,šū[he]IP:šû:šu-u₂,šū[he]IP:šû:šu₂-u,šū[he]IP:šû:šu₂-u₂,ūma[today]AV:ūmâ:u₂-ma,ūma[today]AV:ūmâ:u₂-ma-a,ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-e-mu,ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-mu
SAA05.02.01c or SAA05,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SAA05.02.02,5,0,1,13,5,13,0,2,36,0,0,4,1,0,0,1,0,0,0,0,6,2,0
SAA05.02.03,0,0,0,2,1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
SAA05.03.01,0,0,2,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SAA05.03.02,1,0,2,6,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0
SAA05.03.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA05.03.04,0,0,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA05.04.01,1,0,1,18,2,3,3,0,24,0,0,3,0,0,0,0,2,3,0,0,3,2,0
SAA05.04.02,1,0,2,5,0,5,9,1,12,0,0,1,1,0,0,0,0,0,0,0,1,1,0
SAA05.05.01,0,0,0,3,2,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA05.05.02,0,0,2,2,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SAA05.05.03,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0
SAA05.05.04,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA05.06.01,1,0,4,18,2,15,1,0,26,0,0,2,0,0,0,1,4,0,0,0,4,3,0
SAA05.06.02,0,1,0,2,3,1,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAA05.06.03,2,0,12,13,1,7,1,1,30,0,1,0,4,0,0,0,1,0,0,0,5,3,0
SAA05.06.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA05.07.01,3,0,3,17,4,3,3,2,20,1,1,2,2,2,0,0,0,0,1,0,3,1,0
